oblast,region,depth,parent_text,text,leaf,id,y012025,y022025,y032025,y042025,y052025,y062025,y072025,y082025,y092025,y102025,y112025,y122025,y012026,y022026,y032026,y042026
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0,,Всего,False,741885,1655137573.474,4014019573.474,6322255573.474,7907286573.474,11051528573.474,37810204573.474,58042634060.144,60974263060.144,96676000744.154,100773485261.324,116620210218.304,146838554501.134,1544011447.07,7288453116.69,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,"Сельское, лесное и рыбное хозяйство",False,447173,888208777.0,1702237777.0,1703043777.0,1794536777.0,1810651777.0,2744386777.0,2750114699.0,2768904699.0,9595642256.0,9597932249.0,9598679319.0,9656393821.0,,225911138.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,"Сельское, лесное и рыбное хозяйство","Растениеводство и животноводство, охота и предоставление услуг в этих областях",False,447174,888208777.0,1702237777.0,1703043777.0,1794536777.0,1810651777.0,2744386777.0,2750114699.0,2765041699.0,9552927662.0,9555217654.0,9555217654.0,9612231694.0,,222456113.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Выращивание одно- или двухлетних культур,False,447175,837081070.0,1651110070.0,1651916070.0,1651916070.0,1668031070.0,1668031070.0,1673758992.0,1688685992.0,1706655102.0,1706655102.0,1706655102.0,1706655102.0,,15342781.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание одно- или двухлетних культур,"Выращивание зерновых (кроме риса), бобовых и масличных культур",False,447176,,,,,,,,,17969110.0,17969110.0,17969110.0,17969110.0,,15342781.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур","Выращивание зерновых и зернобобовых культур, включая семеноводство",True,3783380,,,,,,,,,17969110.0,17969110.0,17969110.0,17969110.0,,15342781.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание одно- или двухлетних культур,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",False,447181,837081070.0,1647394070.0,1648200070.0,1648200070.0,1664315070.0,1664315070.0,1670042992.0,1684969992.0,1684969992.0,1684969992.0,1684969992.0,1684969992.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов","Выращивание овощей, их семян и рассады",True,447183,837081070.0,1647394070.0,1648200070.0,1648200070.0,1664315070.0,1664315070.0,1670042992.0,1684969992.0,1684969992.0,1684969992.0,1684969992.0,1684969992.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание одно- или двухлетних культур,Выращивание прочих одно- или двухлетних культур,False,447192,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Выращивание прочих одно- или двухлетних культур,Выращивание кормовых культур и их семян,True,447193,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Выращивание прочих одно- или двухлетних культур,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",True,447195,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Выращивание многолетних культур,False,447196,,,,,,,,,,,,55355372.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание многолетних культур,"Выращивание прочих плодов, ягод и орехов",False,447205,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Выращивание прочих плодов, ягод и орехов","Выращивание прочих плодов, ягод и орехов",True,447206,,,,,,,,,,,,,,,,
