oblast,region,depth,parent_text,text,leaf,id,y012025,y022025,y032025,y042025,y052025,y062025,y072025,y082025,y092025,y102025,y112025,y122025,y012026,y022026
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0,,Всего,False,741885,1655137573.474,4014019573.474,6322255573.474,7907286573.474,11051528573.474,37810204573.474,58042634060.144,60974263060.144,96676000744.154,100773485261.324,116620210218.304,146838554501.134,1544011447.07,7288453116.69
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,"Сельское, лесное и рыбное хозяйство",False,447173,888208777.0,1702237777,1703043777,1794536777,1810651777,2744386777,2750114699,2768904699,9595642256,9597932249,9598679319,9656393821,,225911138.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,"Сельское, лесное и рыбное хозяйство","Растениеводство и животноводство, охота и предоставление услуг в этих областях",False,447174,888208777.0,1702237777,1703043777,1794536777,1810651777,2744386777,2750114699,2765041699,9552927662,9555217654,9555217654,9612231694,,222456113.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Выращивание одно- или двухлетних культур,False,447175,837081070.0,1651110070,1651916070,1651916070,1668031070,1668031070,1673758992,1688685992,1706655102,1706655102,1706655102,1706655102,,15342781.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание одно- или двухлетних культур,"Выращивание зерновых (кроме риса), бобовых и масличных культур",False,447176,,,,,,,,,17969110,17969110,17969110,17969110,,15342781.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур","Выращивание зерновых и зернобобовых культур, включая семеноводство",True,3783380,,,,,,,,,17969110,17969110,17969110,17969110,,15342781.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание одно- или двухлетних культур,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",False,447181,837081070.0,1647394070,1648200070,1648200070,1664315070,1664315070,1670042992,1684969992,1684969992,1684969992,1684969992,1684969992,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов","Выращивание овощей, их семян и рассады",True,447183,837081070.0,1647394070,1648200070,1648200070,1664315070,1664315070,1670042992,1684969992,1684969992,1684969992,1684969992,1684969992,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание одно- или двухлетних культур,Выращивание прочих одно- или двухлетних культур,False,447192,,x,x,x,x,x,x,x,x,x,x,x,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Выращивание прочих одно- или двухлетних культур,Выращивание кормовых культур и их семян,True,447193,,x,x,x,x,x,x,x,x,x,x,x,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Выращивание прочих одно- или двухлетних культур,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",True,447195,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Выращивание многолетних культур,False,447196,,,,,,,,,,,,55355372,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание многолетних культур,"Выращивание прочих плодов, ягод и орехов",False,447205,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Выращивание прочих плодов, ягод и орехов","Выращивание прочих плодов, ягод и орехов",True,447206,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Выращивание многолетних культур,Выращивание прочих многолетних культур,False,447213,,,,,,,,,,,,55355372,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Выращивание прочих многолетних культур,Выращивание прочих многолетних культур,True,447214,,,,,,,,,,,,55355372,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Животноводство,False,447218,51127707.0,51127707,51127707,51127707,51127707,960127707,960127707,960127707,7725110752,7727400744,7727400744,7727400744,,207113380.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Животноводство,Разведение крупного рогатого скота молочного направления,False,447219,,,,,,x,x,x,7673983045,7673983045,7673983045,7673983045,,207113380.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Разведение крупного рогатого скота молочного направления,Разведение крупного рогатого скота молочного направления,True,447220,,,,,,x,x,x,7673983045,7673983045,7673983045,7673983045,,207113380.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Животноводство,Разведение прочего крупного рогатого скота и буйволов,False,447221,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Разведение прочего крупного рогатого скота и буйволов,Разведение прочего крупного рогатого скота и буйволов,True,447222,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Животноводство,Разведение сельскохозяйственной птицы ,False,447232,51127707.0,51127707,51127707,51127707,51127707,51127707,51127707,51127707,51127707,53417699,53417699,53417699,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Разведение сельскохозяйственной птицы ,"Разведение птицы на мясо, племенной птицы и молодняка",True,447233,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Разведение сельскохозяйственной птицы ,Производство яиц,True,447234,51127707.0,51127707,51127707,51127707,51127707,51127707,51127707,51127707,51127707,53417699,53417699,53417699,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Смешанное сельское хозяйство,False,447239,,,,x,x,116228000,116228000,116228000,121161730,121161730,121161730,122820399,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Смешанное сельское хозяйство,Смешанное сельское хозяйство,False,447240,,,,x,x,116228000,116228000,116228000,121161730,121161730,121161730,122820399,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Смешанное сельское хозяйство,Смешанное сельское хозяйство,True,447241,,,,x,x,116228000,116228000,116228000,121161730,121161730,121161730,122820399,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях","Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",False,18683346,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая","Деятельность, способствующая растениеводству",False,18683347,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Деятельность, способствующая растениеводству",Эксплуатация оросительных систем,True,18683349,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,"Сельское, лесное и рыбное хозяйство",Лесоводство и лесозаготовки,False,447255,,,,,,,,x,42714595,42714595,43461665,43461665,,68579.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Лесоводство и лесозаготовки,Лесоводство и прочая лесохозяйственная деятельность,False,447256,,,,,,,,x,42714595,42714595,43461665,43461665,,68579.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Лесоводство и прочая лесохозяйственная деятельность,Лесоводство и прочая лесохозяйственная деятельность,False,447257,,,,,,,,x,42714595,42714595,43461665,43461665,,68579.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Лесоводство и прочая лесохозяйственная деятельность,Лесоводство и прочая лесохозяйственная деятельность,True,447258,,,,,,,,x,42714595,42714595,43461665,43461665,,68579.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,"Сельское, лесное и рыбное хозяйство",Рыболовство и рыбоводство,False,447268,,,,,,,,,,,,700462,,3386447.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Рыболовство и рыбоводство,Рыболовство,False,447269,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Рыболовство,Пресноводное рыболовство,False,447272,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Пресноводное рыболовство,Пресноводное рыболовство,True,447273,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Рыболовство и рыбоводство,Рыбоводство,False,447274,,,,,,,,,,,,700462,,3386447.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Рыбоводство,Пресноводное рыбоводство,False,447277,,,,,,,,,,,,700462,,3386447.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Пресноводное рыбоводство,Пресноводное рыбоводство,True,447278,,,,,,,,,,,,700462,,3386447.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,Строительство,False,448148,,,,,,x,x,x,x,x,x,275414729,,105494462.0
