id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,False,,40370240000,883.0,39786249000,920.0,34667607000,846.0,100041974000,1031.0,91588507000,994.0,59501835000,957.0,0,,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",False,,329840000,883.0,1757933000,920.0,630281000,846.0,2039768000,1031.0,26981078000,994.0,5084284000,957.0,1,Всего,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",False,,320196000,883.0,151750000,920.0,630281000,846.0,1189583000,1031.0,21135631000,994.0,2035018000,957.0,2,"Сельское, лесное и рыбное хозяйство",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447175,Выращивание одно- или двухлетних культур,False,,x,883.0,102019000,920.0,109325000,846.0,1030102000,1031.0,21111541000,994.0,65007000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",False,,,,,,x,846.0,19300000,1031.0,144566000,994.0,3768000,957.0,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",True,,,,,,x,846.0,19300000,1031.0,144566000,994.0,3768000,957.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",False,,x,883.0,65019000,920.0,75833000,846.0,821806000,1031.0,20966975000,994.0,35319000,957.0,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447183,"Выращивание овощей, их семян и рассады",True,,x,883.0,65019000,920.0,x,846.0,821806000,1031.0,20966975000,994.0,35319000,957.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447184,Выращивание сахарной свеклы и ее семян,True,,,,,,x,846.0,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447192,Выращивание прочих одно- или двухлетних культур,False,,,,x,920.0,,,188996000,1031.0,,,25920000,957.0,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
