id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,40370240000,883,39786249000,920,34667607000,846,100041974000,1031,91588507000,994,59501835000,957,0,,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,329840000,883,1757933000,920,630281000,846,2039768000,1031,26981078000,994,5084284000,957,1,Всего,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,320196000,883,151750000,920,630281000,846,1189583000,1031,21135631000,994,2035018000,957,2,"Сельское, лесное и рыбное хозяйство",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,x,883,102019000,920,109325000,846,1030102000,1031,21111541000,994,65007000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,,,x,846,19300000,1031,144566000,994,3768000,957,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,,,x,846,19300000,1031,144566000,994,3768000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,x,883,65019000,920,75833000,846,821806000,1031,20966975000,994,35319000,957,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,x,883,65019000,920,x,846,821806000,1031,20966975000,994,35319000,957,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447184,Выращивание сахарной свеклы и ее семян,true,,,,,,x,846,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447192,Выращивание прочих одно- или двухлетних культур,false,,,,x,920,,,188996000,1031,,,25920000,957,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
447193,Выращивание кормовых культур и их семян,true,,,,,,,,x,1031,,,,,5,Выращивание прочих одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.
