id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,80715095000,883,66173738000,920,44657905000,846,96724698000,1031,88235573000,994,101692212000,957,0,,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,x,883,65955000,920,354232000,846,,,354187000,994,228603000,957,1,Всего,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,x,883,65955000,920,354232000,846,,,354187000,994,228603000,957,2,"Сельское, лесное и рыбное хозяйство",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,29470000,920,x,846,,,347658000,994,27157000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,29470000,920,x,846,,,347658000,994,27157000,957,4,Выращивание одно- или двухлетних культур,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,29470000,920,x,846,,,347658000,994,27157000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447218,Животноводство,false,,x,883,x,920,x,846,,,6529000,994,x,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,x,883,x,920,x,846,,,6529000,994,x,957,4,Животноводство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,x,883,x,920,x,846,,,6529000,994,x,957,5,Разведение прочего крупного рогатого скота и буйволов,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447239,Смешанное сельское хозяйство,false,,,,,,,,,,,,x,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447240,Смешанное сельское хозяйство,false,,,,,,,,,,,,x,957,4,Смешанное сельское хозяйство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
447241,Смешанное сельское хозяйство,true,,,,,,,,,,,,x,957,5,Смешанное сельское хозяйство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448148,Строительство,false,,53750000,883,3524000,920,13241000,846,1789928000,1031,241215000,994,109735000,957,1,Всего,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18710963,Строительство зданий,false,,,,x,920,,,1479053000,1031,x,994,x,957,2,Строительство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18710967,Строительство жилых и нежилых зданий,false,,,,x,920,,,1479053000,1031,x,994,x,957,3,Строительство зданий,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18710968,Строительство жилых и нежилых зданий,false,,,,x,920,,,1479053000,1031,x,994,x,957,4,Строительство жилых и нежилых зданий,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18710969,Строительство жилых зданий,true,,,,x,920,,,51173000,1031,,,,,5,Строительство жилых и нежилых зданий,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,,,,,,,1427880000,1031,x,994,x,957,5,Строительство жилых и нежилых зданий,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448157,Гражданское строительство,false,,,,,,x,846,,,,,x,957,2,Строительство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18696516,Строительство прочих инженерных сооружений,false,,,,,,x,846,,,,,x,957,3,Гражданское строительство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18696517,"Строительство прочих инженерных сооружений, не включенных в другие группировки",false,,,,,,x,846,,,,,x,957,4,Строительство прочих инженерных сооружений,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
18696518,"Строительство прочих инженерных сооружений, не включенных в другие группировки",true,,,,,,x,846,,,,,x,957,5,"Строительство прочих инженерных сооружений, не включенных в другие группировки",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448177,Специализированные строительные работы,false,,53750000,883,439000,920,9182000,846,310875000,1031,25430000,994,16476000,957,2,Строительство,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448178,"Снос  зданий и сооружений, подготовка строительного участка",false,,52436000,883,,,6964000,846,,,,,,,3,Специализированные строительные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448181,Подготовка строительного участка,false,,52436000,883,,,6964000,846,,,,,,,4,"Снос  зданий и сооружений, подготовка строительного участка",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448182,Земляные работы,true,,6583000,883,,,,,,,,,,,5,Подготовка строительного участка,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448183,Взрывные работы,true,,45853000,883,,,6964000,846,,,,,,,5,Подготовка строительного участка,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448187,"Монтаж и установка электрического, водопроводного и прочего оборудования",false,,x,883,,,522000,846,765000,1031,,,x,957,3,Специализированные строительные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448190,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",false,,,,,,,,765000,1031,,,x,957,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448191,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",true,,,,,,,,765000,1031,,,x,957,5,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448192,Прочие строительно-монтажные работы,false,,x,883,,,522000,846,,,,,,,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448194,"Прочие строительно-монтажные работы, не включенные в другие группировки",true,,x,883,,,522000,846,,,,,,,5,Прочие строительно-монтажные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448196,Отделочные работы,false,,,,x,920,,,150072000,1031,25430000,994,,,3,Специализированные строительные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448201,Покрытие полов и облицовка стен,false,,,,x,920,,,,,,,,,4,Отделочные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448202,Покрытие полов и облицовка стен,true,,,,x,920,,,,,,,,,5,Покрытие полов и облицовка стен,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448205,Прочие отделочные работы,false,,,,,,,,150072000,1031,25430000,994,,,4,Отделочные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448206,Прочие отделочные работы,true,,,,,,,,150072000,1031,25430000,994,,,5,Прочие отделочные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448207,Прочие специализированные строительные работы,false,,x,883,x,920,x,846,160038000,1031,,,4779000,957,3,Специализированные строительные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448210,"Прочие специализированные строительные работы, не включенные в другие группировки",false,,x,883,x,920,x,846,160038000,1031,,,4779000,957,4,Прочие специализированные строительные работы,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448213,Аренда строительного оборудования с оператором,true,,x,883,,,x,846,,,,,x,957,5,"Прочие специализированные строительные работы, не включенные в другие группировки",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448214,"Прочие строительные работы, требующие специальной квалификации",true,,,,x,920,,,160038000,1031,,,173000,957,5,"Прочие специализированные строительные работы, не включенные в другие группировки",АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448215,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,false,,3165376000,883,5318420000,920,1415998000,846,6322027000,1031,5871015000,994,5166506000,957,1,Всего,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448216,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,false,,1018322000,883,52800000,920,21454000,846,317973000,1031,723880000,994,2021982000,957,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
448217,Торговля автомобилями,false,,1013440000,883,52229000,920,250000,846,92135000,1031,419020000,994,28814000,957,3,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,АКМОЛИНСКАЯ ОБЛАСТЬ,КОКШЕТАУ Г.А.
