id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,238502463000,883,277949338000,920,201616326000,846,289732504000,1031,360346949000,994,292328842000,957,0,,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,6392047000,883,3522614000,920,5361859000,846,206581000,1031,557586000,994,1339641000,957,1,Всего,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,6392047000,883,3522614000,920,5361859000,846,206581000,1031,557586000,994,1333891000,957,2,"Сельское, лесное и рыбное хозяйство",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,1367856000,883,3470864000,920,4651594000,846,94670000,1031,468056000,994,1212904000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,70254000,883,445871000,920,x,846,4971000,1031,167311000,994,66686000,957,4,Выращивание одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,70254000,883,445871000,920,x,846,4971000,1031,167311000,994,66686000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,1297602000,883,3024993000,920,4493860000,846,84199000,1031,300745000,994,1146218000,957,4,Выращивание одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447182,Выращивание картофеля и посадочного материала,true,,x,883,,,,,,,56471000,994,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,1296476000,883,3024993000,920,4493860000,846,84199000,1031,244274000,994,1146218000,957,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447192,Выращивание прочих одно- или двухлетних культур,false,,,,,,,,x,1031,,,,,4,Выращивание одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447193,Выращивание кормовых культур и их семян,true,,,,,,,,x,1031,,,,,5,Выращивание прочих одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447218,Животноводство,false,,5022839000,883,51750000,920,697470000,846,64216000,1031,16735000,994,119576000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,,,,,,,27273000,1031,,,19120000,957,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
447220,Разведение крупного рогатого скота молочного направления,true,,,,,,,,27273000,1031,,,19120000,957,5,Разведение крупного рогатого скота молочного направления,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.
