id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,611900523000,883,714094053000,920,447719528000,846,522641833000,1031,450674185000,994,450626045000,957,0,,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,441097000,883,135214000,920,500693000,846,418968000,1031,121149000,994,940120000,957,1,Всего,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,433997000,883,133990000,920,480836000,846,418968000,1031,119042000,994,901317000,957,2,"Сельское, лесное и рыбное хозяйство",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,349500000,883,76891000,920,91556000,846,31528000,1031,34776000,994,68249000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,201700000,883,76891000,920,x,846,25914000,1031,31639000,994,38160000,957,4,Выращивание одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,201700000,883,76891000,920,x,846,25914000,1031,31639000,994,38160000,957,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447192,Выращивание прочих одно- или двухлетних культур,false,,147800000,883,,,x,846,5614000,1031,3137000,994,30089000,957,4,Выращивание одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447193,Выращивание кормовых культур и их семян,true,,,,,,x,846,,,,,,,5,Выращивание прочих одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447195,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",true,,147800000,883,,,,,5614000,1031,3137000,994,30089000,957,5,Выращивание прочих одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447218,Животноводство,false,,13860000,883,19142000,920,10000000,846,42116000,1031,4990000,994,54981000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,10810000,883,1330000,920,,,27400000,1031,,,25475000,957,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447220,Разведение крупного рогатого скота молочного направления,true,,10810000,883,1330000,920,,,27400000,1031,,,25475000,957,5,Разведение крупного рогатого скота молочного направления,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,3050000,883,5960000,920,10000000,846,,,,,,,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,3050000,883,5960000,920,10000000,846,,,,,,,5,Разведение прочего крупного рогатого скота и буйволов,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,,,,,,,96000,1031,,,,,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447233,"Разведение птицы на мясо, племенной птицы и молодняка",true,,,,,,,,96000,1031,,,,,5,Разведение сельскохозяйственной птицы ,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
447237,Разведение прочих видов животных,false,,,,11852000,920,,,14620000,1031,4990000,994,29506000,957,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.
