id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,115478851000,883,159987199000,920,125208195000,846,279664405000,1031,366210036000,994,150154881000,957,0,,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448148,Строительство,false,,786501000,883,735572000,920,4493869000,846,3059100000,1031,4801225000,994,3030466000,957,1,Всего,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710963,Строительство зданий,false,,62713000,883,449321000,920,78350000,846,61520000,1031,390950000,994,x,957,2,Строительство,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710964,Разработка строительных проектов,false,,x,883,x,920,x,846,,,x,994,,,3,Строительство зданий,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710965,Разработка строительных проектов,false,,x,883,x,920,x,846,,,x,994,,,4,Разработка строительных проектов,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710966,Разработка строительных проектов,true,,x,883,x,920,x,846,,,x,994,,,5,Разработка строительных проектов,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710967,Строительство жилых и нежилых зданий,false,,57674000,883,449218000,920,73674000,846,61520000,1031,387930000,994,x,957,3,Строительство зданий,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710968,Строительство жилых и нежилых зданий,false,,57674000,883,449218000,920,73674000,846,61520000,1031,387930000,994,x,957,4,Строительство жилых и нежилых зданий,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18710969,Строительство жилых зданий,true,,12805000,883,395411000,920,23280000,846,23174000,1031,383746000,994,x,957,5,Строительство жилых и нежилых зданий,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,44869000,883,53807000,920,48523000,846,38346000,1031,4184000,994,,,5,Строительство жилых и нежилых зданий,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18801542,Строительство стационарных торговых объектов категории 1,true,,,,,,x,846,,,,,,,5,Строительство жилых и нежилых зданий,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448157,Гражданское строительство,false,,x,883,188418000,920,644961000,846,715185000,1031,1346879000,994,106842000,957,2,Строительство,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448158,Строительство автомобильных и железных дорог,false,,,,,,103754000,846,467642000,1031,817036000,994,236000,957,3,Гражданское строительство,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18696143,Строительство автомобильных дорог,false,,,,,,48242000,846,467642000,1031,773418000,994,236000,957,4,Строительство автомобильных и железных дорог,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18946136,Строительство дорог и автомагистралей,true,,,,,,48242000,846,467642000,1031,773418000,994,236000,957,5,Строительство автомобильных дорог,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448161,Строительство железных дорог и метро,false,,,,,,,,,,43618000,994,,,4,Строительство автомобильных и железных дорог,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448162,Строительство железных дорог и метро,true,,,,,,,,,,43618000,994,,,5,Строительство железных дорог и метро,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448163,Строительство мостов и туннелей,false,,,,,,x,846,,,,,,,4,Строительство автомобильных и железных дорог,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448164,Строительство мостов и туннелей,true,,,,,,x,846,,,,,,,5,Строительство мостов и туннелей,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448165,Строительство распределительных инженерных сооружений,false,,x,883,184296000,920,x,846,247419000,1031,528318000,994,x,957,3,Гражданское строительство,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448166,Строительство трубопроводов,false,,,,x,920,,,,,,,,,4,Строительство распределительных инженерных сооружений,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448167,Строительство нефтяных и газовых магистральных трубопроводов,true,,,,x,920,,,,,,,,,5,Строительство трубопроводов,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448170,Строительство линий электропередач и телекоммуникаций ,false,,x,883,x,920,x,846,247419000,1031,528318000,994,x,957,4,Строительство распределительных инженерных сооружений,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
448171,Строительство линий электропередач и телекоммуникаций ,true,,x,883,x,920,x,846,247419000,1031,528318000,994,x,957,5,Строительство линий электропередач и телекоммуникаций ,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18696516,Строительство прочих инженерных сооружений,false,,,,4122000,920,8587000,846,x,1031,x,994,x,957,3,Гражданское строительство,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18696519,Строительство водных сооружений,false,,,,4122000,920,,,,,,,,,4,Строительство прочих инженерных сооружений,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18696520,Строительство водных сооружений,true,,,,4122000,920,,,,,,,,,5,Строительство водных сооружений,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18696517,"Строительство прочих инженерных сооружений, не включенных в другие группировки",false,,,,,,8587000,846,x,1031,x,994,x,957,4,Строительство прочих инженерных сооружений,Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
18696518,"Строительство прочих инженерных сооружений, не включенных в другие группировки",true,,,,,,8587000,846,x,1031,x,994,x,957,5,"Строительство прочих инженерных сооружений, не включенных в другие группировки",Г.АЛМАТЫ,АЛМАЛИНСКИЙ РАЙОН
