id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,164928036000,883,154704010000,920,102988902000,846,180879191000,1031,237353359000,994,217747474000,957,0,,Г.АСТАНА,РАЙОН АЛМАТЫ
448148,Строительство,false,,873746000,883,1709830000,920,1267637000,846,1203453000,1031,1273245000,994,3396545000,957,1,Всего,Г.АСТАНА,РАЙОН АЛМАТЫ
18710963,Строительство зданий,false,,376776000,883,928657000,920,332434000,846,98062000,1031,406863000,994,240082000,957,2,Строительство,Г.АСТАНА,РАЙОН АЛМАТЫ
18710964,Разработка строительных проектов,false,,,,x,920,x,846,x,1031,19993000,994,51317000,957,3,Строительство зданий,Г.АСТАНА,РАЙОН АЛМАТЫ
18710965,Разработка строительных проектов,false,,,,x,920,x,846,x,1031,19993000,994,51317000,957,4,Разработка строительных проектов,Г.АСТАНА,РАЙОН АЛМАТЫ
18710966,Разработка строительных проектов,true,,,,x,920,x,846,x,1031,19993000,994,51317000,957,5,Разработка строительных проектов,Г.АСТАНА,РАЙОН АЛМАТЫ
18710967,Строительство жилых и нежилых зданий,false,,376776000,883,913060000,920,332093000,846,94752000,1031,386870000,994,188765000,957,3,Строительство зданий,Г.АСТАНА,РАЙОН АЛМАТЫ
18710968,Строительство жилых и нежилых зданий,false,,376776000,883,913060000,920,332093000,846,94752000,1031,386870000,994,188765000,957,4,Строительство жилых и нежилых зданий,Г.АСТАНА,РАЙОН АЛМАТЫ
18710969,Строительство жилых зданий,true,,346907000,883,834272000,920,12809000,846,92745000,1031,236243000,994,65574000,957,5,Строительство жилых и нежилых зданий,Г.АСТАНА,РАЙОН АЛМАТЫ
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,29869000,883,78788000,920,319284000,846,2007000,1031,150627000,994,123191000,957,5,Строительство жилых и нежилых зданий,Г.АСТАНА,РАЙОН АЛМАТЫ
448157,Гражданское строительство,false,,418637000,883,580833000,920,303921000,846,624988000,1031,776825000,994,3040509000,957,2,Строительство,Г.АСТАНА,РАЙОН АЛМАТЫ
448158,Строительство автомобильных и железных дорог,false,,281949000,883,313810000,920,253958000,846,558908000,1031,240352000,994,2656517000,957,3,Гражданское строительство,Г.АСТАНА,РАЙОН АЛМАТЫ
18696143,Строительство автомобильных дорог,false,,281949000,883,304920000,920,217995000,846,516418000,1031,240352000,994,45288000,957,4,Строительство автомобильных и железных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ
18946136,Строительство дорог и автомагистралей,true,,281949000,883,304920000,920,217995000,846,516418000,1031,240352000,994,27938000,957,5,Строительство автомобильных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ
18946137,"Деятельность по организации строительства, реконструкции, ремонта, платного движения и содержания автомобильных дорог (участков) общего пользования международного и республиканского значения",true,,,,,,,,,,,,x,957,5,Строительство автомобильных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ
448161,Строительство железных дорог и метро,false,,,,8890000,920,35963000,846,42490000,1031,,,2611229000,957,4,Строительство автомобильных и железных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ
448162,Строительство железных дорог и метро,true,,,,8890000,920,35963000,846,42490000,1031,,,2611229000,957,5,Строительство железных дорог и метро,Г.АСТАНА,РАЙОН АЛМАТЫ
448165,Строительство распределительных инженерных сооружений,false,,x,883,190005000,920,x,846,,,131950000,994,297427000,957,3,Гражданское строительство,Г.АСТАНА,РАЙОН АЛМАТЫ
448166,Строительство трубопроводов,false,,,,171670000,920,x,846,,,131950000,994,x,957,4,Строительство распределительных инженерных сооружений,Г.АСТАНА,РАЙОН АЛМАТЫ
448168,Строительство трубопроводов для систем водоснабжения и канализации,true,,,,171670000,920,x,846,,,131950000,994,x,957,5,Строительство трубопроводов,Г.АСТАНА,РАЙОН АЛМАТЫ
