id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,52316566000,883,94372955000,920,37543704000,846,269560720000,1031,190805283000,994,99295466000,957,0,,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447173,"Сельское, лесное и рыбное хозяйство",false,,2466574000,883,2937654000,920,190277000,846,101915000,1031,85346000,994,549796000,957,1,Всего,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,2466574000,883,2937654000,920,190277000,846,101915000,1031,85346000,994,549796000,957,2,"Сельское, лесное и рыбное хозяйство",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447175,Выращивание одно- или двухлетних культур,false,,2409937000,883,1813650000,920,,,65768000,1031,,,482612000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,9937000,883,13650000,920,,,,,,,410000000,957,4,Выращивание одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,9937000,883,13650000,920,,,,,,,410000000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,2400000000,883,1800000000,920,,,,,,,,,4,Выращивание одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447183,"Выращивание овощей, их семян и рассады",true,,2400000000,883,1800000000,920,,,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447192,Выращивание прочих одно- или двухлетних культур,false,,,,,,,,65768000,1031,,,x,957,4,Выращивание одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447193,Выращивание кормовых культур и их семян,true,,,,,,,,x,1031,,,x,957,5,Выращивание прочих одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447195,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",true,,,,,,,,5500000,1031,,,,,5,Выращивание прочих одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
447218,Животноводство,false,,56637000,883,266572000,920,190277000,846,35647000,1031,85346000,994,56834000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН
