id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,115014410000,883,130741265000,920,77307093000,846,185148387000,1031,180734625000,994,156553216000,957,0,,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,7797000,883,55943000,920,177944000,846,57470000,1031,2603943000,994,,,1,Всего,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,7797000,883,55943000,920,177944000,846,57470000,1031,2603943000,994,,,2,"Сельское, лесное и рыбное хозяйство",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,55943000,920,,,18690000,1031,14800000,994,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,x,920,,,,,,,,,4,Выращивание одно- или двухлетних культур,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,x,920,,,,,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,600000,920,,,18690000,1031,14800000,994,,,4,Выращивание одно- или двухлетних культур,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,,,600000,920,,,18690000,1031,14800000,994,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447218,Животноводство,false,,,,,,177944000,846,38780000,1031,2589143000,994,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,,,,,177944000,846,,,,,,,4,Животноводство,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,,,,,177944000,846,,,,,,,5,Разведение прочего крупного рогатого скота и буйволов,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,,,,,,,38780000,1031,2589143000,994,,,4,Животноводство,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447233,"Разведение птицы на мясо, племенной птицы и молодняка",true,,,,,,,,38780000,1031,2589143000,994,,,5,Разведение сельскохозяйственной птицы ,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447239,Смешанное сельское хозяйство,false,,566000,883,,,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
447240,Смешанное сельское хозяйство,false,,566000,883,,,,,,,,,,,4,Смешанное сельское хозяйство,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.
