id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,115876394000,883,111869122000,920,93158137000,846,185888880000,1031,146963767000,994,104365861000,957,0,,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,815963000,883,1209178000,920,5701473000,846,1783205000,1031,1287167000,994,2107699000,957,1,Всего,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,626566000,883,1209178000,920,5700348000,846,1312926000,1031,1020918000,994,2107699000,957,2,"Сельское, лесное и рыбное хозяйство",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447175,Выращивание одно- или двухлетних культур,false,,196096000,883,704460000,920,5261486000,846,1079602000,1031,773007000,994,576953000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,196096000,883,694475000,920,76917000,846,634612000,1031,708105000,994,437644000,957,4,Выращивание одно- или двухлетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,196096000,883,694475000,920,76917000,846,634612000,1031,708105000,994,437644000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,x,920,5184569000,846,444990000,1031,64902000,994,139309000,957,4,Выращивание одно- или двухлетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447182,Выращивание картофеля и посадочного материала,true,,,,x,920,,,444990000,1031,64902000,994,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,,,,,5184569000,846,,,,,139309000,957,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447196,Выращивание многолетних культур,false,,x,883,4890000,920,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447213,Выращивание прочих многолетних культур,false,,x,883,4890000,920,,,,,,,,,4,Выращивание многолетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447214,Выращивание прочих многолетних культур,true,,x,883,4890000,920,,,,,,,,,5,Выращивание прочих многолетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447218,Животноводство,false,,235618000,883,328091000,920,422862000,846,196833000,1031,101627000,994,583611000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,,,x,920,,,9730000,1031,x,994,x,957,4,Животноводство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447220,Разведение крупного рогатого скота молочного направления,true,,,,x,920,,,9730000,1031,x,994,x,957,5,Разведение крупного рогатого скота молочного направления,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,14808000,883,168344000,920,x,846,35438000,1031,15380000,994,x,957,4,Животноводство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,14808000,883,168344000,920,x,846,35438000,1031,15380000,994,x,957,5,Разведение прочего крупного рогатого скота и буйволов,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,220810000,883,x,920,369474000,846,151665000,1031,81447000,994,560230000,957,4,Животноводство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447234,Производство яиц,true,,x,883,,,,,,,,,,,5,Разведение сельскохозяйственной птицы ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447235,"Производство смешанное, мясояичное",true,,210895000,883,x,920,369474000,846,151665000,1031,81447000,994,560230000,957,5,Разведение сельскохозяйственной птицы ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447239,Смешанное сельское хозяйство,false,,,,109138000,920,16000000,846,30332000,1031,102015000,994,889558000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447240,Смешанное сельское хозяйство,false,,,,109138000,920,16000000,846,30332000,1031,102015000,994,889558000,957,4,Смешанное сельское хозяйство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447241,Смешанное сельское хозяйство,true,,,,109138000,920,16000000,846,30332000,1031,102015000,994,889558000,957,5,Смешанное сельское хозяйство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18683346,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,,71174000,883,62599000,920,,,6159000,1031,44269000,994,57577000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18683347,"Деятельность, способствующая растениеводству",false,,71174000,883,62599000,920,,,6159000,1031,44269000,994,57577000,957,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18683349,Эксплуатация оросительных систем,true,,71174000,883,62599000,920,,,6159000,1031,44269000,994,57577000,957,5,"Деятельность, способствующая растениеводству",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447255,Лесоводство и лесозаготовки,false,,,,,,,,470279000,1031,266249000,994,,,2,"Сельское, лесное и рыбное хозяйство",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447256,Лесоводство и прочая лесохозяйственная деятельность,false,,,,,,,,470279000,1031,266249000,994,,,3,Лесоводство и лесозаготовки,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447257,Лесоводство и прочая лесохозяйственная деятельность,false,,,,,,,,470279000,1031,266249000,994,,,4,Лесоводство и прочая лесохозяйственная деятельность,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447258,Лесоводство и прочая лесохозяйственная деятельность,true,,,,,,,,470279000,1031,266249000,994,,,5,Лесоводство и прочая лесохозяйственная деятельность,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447268,Рыболовство и рыбоводство,false,,189397000,883,,,1125000,846,,,,,,,2,"Сельское, лесное и рыбное хозяйство",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447274,Рыбоводство,false,,189397000,883,,,1125000,846,,,,,,,3,Рыболовство и рыбоводство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447277,Пресноводное рыбоводство,false,,189397000,883,,,1125000,846,,,,,,,4,Рыбоводство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
447278,Пресноводное рыбоводство,true,,189397000,883,,,1125000,846,,,,,,,5,Пресноводное рыбоводство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448148,Строительство,false,,1743983000,883,2973841000,920,2898911000,846,1296069000,1031,788262000,994,6491211000,957,1,Всего,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710963,Строительство зданий,false,,430769000,883,1731585000,920,917135000,846,443792000,1031,414943000,994,548776000,957,2,Строительство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710964,Разработка строительных проектов,false,,,,,,1677000,846,,,,,,,3,Строительство зданий,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710965,Разработка строительных проектов,false,,,,,,1677000,846,,,,,,,4,Разработка строительных проектов,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710966,Разработка строительных проектов,true,,,,,,1677000,846,,,,,,,5,Разработка строительных проектов,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710967,Строительство жилых и нежилых зданий,false,,430769000,883,1731585000,920,915458000,846,443792000,1031,414943000,994,548776000,957,3,Строительство зданий,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710968,Строительство жилых и нежилых зданий,false,,430769000,883,1731585000,920,915458000,846,443792000,1031,414943000,994,548776000,957,4,Строительство жилых и нежилых зданий,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18710969,Строительство жилых зданий,true,,142338000,883,942618000,920,701517000,846,328612000,1031,76017000,994,4220000,957,5,Строительство жилых и нежилых зданий,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,288431000,883,788967000,920,213941000,846,115180000,1031,338926000,994,544556000,957,5,Строительство жилых и нежилых зданий,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448157,Гражданское строительство,false,,900909000,883,1032842000,920,1465553000,846,353452000,1031,172086000,994,515654000,957,2,Строительство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448158,Строительство автомобильных и железных дорог,false,,703307000,883,1008578000,920,1199993000,846,317031000,1031,160489000,994,166521000,957,3,Гражданское строительство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18696143,Строительство автомобильных дорог,false,,703307000,883,1008578000,920,1199993000,846,317031000,1031,160489000,994,166521000,957,4,Строительство автомобильных и железных дорог,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18946136,Строительство дорог и автомагистралей,true,,703307000,883,1008578000,920,1199993000,846,279159000,1031,75503000,994,166521000,957,5,Строительство автомобильных дорог,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18946137,"Деятельность по организации строительства, реконструкции, ремонта, платного движения и содержания автомобильных дорог (участков) общего пользования международного и республиканского значения",true,,,,,,,,37872000,1031,84986000,994,,,5,Строительство автомобильных дорог,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448165,Строительство распределительных инженерных сооружений,false,,19232000,883,2187000,920,203308000,846,,,9429000,994,259297000,957,3,Гражданское строительство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448166,Строительство трубопроводов,false,,16967000,883,2187000,920,203308000,846,,,9429000,994,259297000,957,4,Строительство распределительных инженерных сооружений,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448167,Строительство нефтяных и газовых магистральных трубопроводов,true,,6592000,883,2054000,920,170642000,846,,,9429000,994,250454000,957,5,Строительство трубопроводов,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448168,Строительство трубопроводов для систем водоснабжения и канализации,true,,x,883,133000,920,32666000,846,,,,,x,957,5,Строительство трубопроводов,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448169,Строительство прочих трубопроводов,true,,x,883,,,,,,,,,,,5,Строительство трубопроводов,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448170,Строительство линий электропередач и телекоммуникаций ,false,,x,883,,,,,,,,,,,4,Строительство распределительных инженерных сооружений,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448171,Строительство линий электропередач и телекоммуникаций ,true,,x,883,,,,,,,,,,,5,Строительство линий электропередач и телекоммуникаций ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18696516,Строительство прочих инженерных сооружений,false,,178370000,883,x,920,62252000,846,36421000,1031,x,994,x,957,3,Гражданское строительство,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18696519,Строительство водных сооружений,false,,178370000,883,x,920,62252000,846,35592000,1031,x,994,x,957,4,Строительство прочих инженерных сооружений,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
