id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,183055594000,883,215921685000,920,137390843000,846,316153565000,1031,237467155000,994,219283433000,957,0,,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,107506000,883,350115000,920,78677000,846,1013064000,1031,870734000,994,462865000,957,1,Всего,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,107506000,883,350115000,920,78677000,846,1013064000,1031,870734000,994,462190000,957,2,"Сельское, лесное и рыбное хозяйство",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,207771000,920,,,653880000,1031,348870000,994,x,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,x,920,,,653880000,1031,348870000,994,x,957,4,Выращивание одно- или двухлетних культур,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,x,920,,,653880000,1031,348870000,994,x,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,x,920,,,,,,,,,4,Выращивание одно- или двухлетних культур,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447182,Выращивание картофеля и посадочного материала,true,,,,x,920,,,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447218,Животноводство,false,,,,9000000,920,,,20100000,1031,,,61997000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,,,,,,,20100000,1031,,,,,4,Животноводство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447220,Разведение крупного рогатого скота молочного направления,true,,,,,,,,20100000,1031,,,,,5,Разведение крупного рогатого скота молочного направления,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,,,9000000,920,,,,,,,,,4,Животноводство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,,,9000000,920,,,,,,,,,5,Разведение прочего крупного рогатого скота и буйволов,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447230,Разведение свиней,false,,,,,,,,,,,,x,957,4,Животноводство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447231,Разведение свиней,true,,,,,,,,,,,,x,957,5,Разведение свиней,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,,,,,,,,,,,61831000,957,4,Животноводство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447233,"Разведение птицы на мясо, племенной птицы и молодняка",true,,,,,,,,,,,,61831000,957,5,Разведение сельскохозяйственной птицы ,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447239,Смешанное сельское хозяйство,false,,12400000,883,35676000,920,3600000,846,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447240,Смешанное сельское хозяйство,false,,12400000,883,35676000,920,3600000,846,,,,,,,4,Смешанное сельское хозяйство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447241,Смешанное сельское хозяйство,true,,12400000,883,35676000,920,3600000,846,,,,,,,5,Смешанное сельское хозяйство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18683346,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,,95106000,883,97668000,920,75077000,846,339084000,1031,521864000,994,34171000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18683347,"Деятельность, способствующая растениеводству",false,,95106000,883,97668000,920,75077000,846,339084000,1031,521864000,994,34171000,957,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18683349,Эксплуатация оросительных систем,true,,95106000,883,97668000,920,75077000,846,339084000,1031,521864000,994,34171000,957,5,"Деятельность, способствующая растениеводству",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447268,Рыболовство и рыбоводство,false,,,,,,,,,,,,x,957,2,"Сельское, лесное и рыбное хозяйство",КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447269,Рыболовство,false,,,,,,,,,,,,x,957,3,Рыболовство и рыбоводство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447272,Пресноводное рыболовство,false,,,,,,,,,,,,x,957,4,Рыболовство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
447273,Пресноводное рыболовство,true,,,,,,,,,,,,x,957,5,Пресноводное рыболовство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
448148,Строительство,false,,1561772000,883,2536996000,920,969921000,846,9041108000,1031,5398548000,994,4425877000,957,1,Всего,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710963,Строительство зданий,false,,210503000,883,70687000,920,229254000,846,390018000,1031,96016000,994,239308000,957,2,Строительство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710964,Разработка строительных проектов,false,,x,883,x,920,x,846,,,742000,994,140133000,957,3,Строительство зданий,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710965,Разработка строительных проектов,false,,x,883,x,920,x,846,,,742000,994,140133000,957,4,Разработка строительных проектов,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710966,Разработка строительных проектов,true,,x,883,x,920,x,846,,,742000,994,140133000,957,5,Разработка строительных проектов,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710967,Строительство жилых и нежилых зданий,false,,209614000,883,70229000,920,222190000,846,390018000,1031,95274000,994,99175000,957,3,Строительство зданий,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710968,Строительство жилых и нежилых зданий,false,,209614000,883,70229000,920,222190000,846,390018000,1031,95274000,994,99175000,957,4,Строительство жилых и нежилых зданий,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18710969,Строительство жилых зданий,true,,188171000,883,23256000,920,180404000,846,237685000,1031,21280000,994,77741000,957,5,Строительство жилых и нежилых зданий,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,21443000,883,46973000,920,41786000,846,152333000,1031,73994000,994,21434000,957,5,Строительство жилых и нежилых зданий,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
448157,Гражданское строительство,false,,290525000,883,336196000,920,594132000,846,6185552000,1031,1947484000,994,1166687000,957,2,Строительство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
448158,Строительство автомобильных и железных дорог,false,,173260000,883,252565000,920,348766000,846,5656633000,1031,1392493000,994,1004147000,957,3,Гражданское строительство,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18696143,Строительство автомобильных дорог,false,,173260000,883,252565000,920,348766000,846,2592475000,1031,1392493000,994,984379000,957,4,Строительство автомобильных и железных дорог,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18946136,Строительство дорог и автомагистралей,true,,173260000,883,252565000,920,348766000,846,2592475000,1031,1392493000,994,983843000,957,5,Строительство автомобильных дорог,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
18946137,"Деятельность по организации строительства, реконструкции, ремонта, платного движения и содержания автомобильных дорог (участков) общего пользования международного и республиканского значения",true,,,,,,,,,,,,x,957,5,Строительство автомобильных дорог,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
448161,Строительство железных дорог и метро,false,,,,,,,,3064158000,1031,,,19768000,957,4,Строительство автомобильных и железных дорог,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
448162,Строительство железных дорог и метро,true,,,,,,,,3064158000,1031,,,19768000,957,5,Строительство железных дорог и метро,КАРАГАНДИНСКАЯ ОБЛАСТЬ,КАРАГАНДА Г.А.
