id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,112004107000,883,144041033000,920,82258456000,846,262050546000,1031,184049401000,994,140767290000,957,0,,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,602579000,883,1028109000,920,512738000,846,687472000,1031,737925000,994,1244517000,957,1,Всего,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,601683000,883,1023619000,920,512738000,846,686330000,1031,737925000,994,1244517000,957,2,"Сельское, лесное и рыбное хозяйство",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,592902000,883,987619000,920,466880000,846,473630000,1031,549176000,994,493905000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,592902000,883,987619000,920,446600000,846,473630000,1031,462759000,994,493905000,957,4,Выращивание одно- или двухлетних культур,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,592902000,883,987619000,920,446600000,846,473630000,1031,462759000,994,493905000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,,,20280000,846,,,86417000,994,,,4,Выращивание одно- или двухлетних культур,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447182,Выращивание картофеля и посадочного материала,true,,,,,,20280000,846,,,86417000,994,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447218,Животноводство,false,,x,883,x,920,42114000,846,,,105428000,994,x,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,,,,,x,846,,,x,994,,,4,Животноводство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447220,Разведение крупного рогатого скота молочного направления,true,,,,,,x,846,,,x,994,,,5,Разведение крупного рогатого скота молочного направления,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447230,Разведение свиней,false,,,,,,x,846,,,,,,,4,Животноводство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447231,Разведение свиней,true,,,,,,x,846,,,,,,,5,Разведение свиней,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,x,883,x,920,x,846,,,x,994,x,957,4,Животноводство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447233,"Разведение птицы на мясо, племенной птицы и молодняка",true,,x,883,x,920,x,846,,,x,994,x,957,5,Разведение сельскохозяйственной птицы ,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447239,Смешанное сельское хозяйство,false,,,,,,1336000,846,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447240,Смешанное сельское хозяйство,false,,,,,,1336000,846,,,,,,,4,Смешанное сельское хозяйство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447241,Смешанное сельское хозяйство,true,,,,,,1336000,846,,,,,,,5,Смешанное сельское хозяйство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683346,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,,,,x,920,2408000,846,212700000,1031,83321000,994,748212000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683347,"Деятельность, способствующая растениеводству",false,,,,x,920,2408000,846,1572000,1031,,,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683348,"Деятельность, способствующая растениеводству, кроме эксплуатации оросительных систем",true,,,,x,920,2408000,846,1572000,1031,,,,,5,"Деятельность, способствующая растениеводству",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683350,"Деятельность, способствующая животноводству",false,,,,,,,,,,,,x,957,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683351,"Деятельность, способствующая животноводству",true,,,,,,,,,,,,x,957,5,"Деятельность, способствующая животноводству",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683352,Деятельность по обработке урожая,false,,,,,,,,128628000,1031,83321000,994,27112000,957,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683353,Деятельность по обработке урожая,true,,,,,,,,128628000,1031,83321000,994,27112000,957,5,Деятельность по обработке урожая,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683354,Деятельность по обработке семян для посадки,false,,,,,,,,82500000,1031,,,100000,957,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
18683355,Деятельность по обработке семян для посадки,true,,,,,,,,82500000,1031,,,100000,957,5,Деятельность по обработке семян для посадки,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447268,Рыболовство и рыбоводство,false,,x,883,x,920,,,x,1031,,,,,2,"Сельское, лесное и рыбное хозяйство",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447274,Рыбоводство,false,,x,883,x,920,,,x,1031,,,,,3,Рыболовство и рыбоводство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
447277,Пресноводное рыбоводство,false,,x,883,x,920,,,x,1031,,,,,4,Рыбоводство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.
