id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,148790849000,883,181170019000,920,148114776000,846,300669421000,1031,237862080000,994,207095190000,957,0,,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,965127000,883,435747000,920,285378000,846,291330000,1031,291273000,994,150418000,957,1,Всего,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,965127000,883,435747000,920,285378000,846,286708000,1031,218054000,994,102339000,957,2,"Сельское, лесное и рыбное хозяйство",КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447175,Выращивание одно- или двухлетних культур,false,,809672000,883,49024000,920,267188000,846,274296000,1031,218054000,994,67900000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,,,,,11518000,1031,,,6200000,957,4,Выращивание одно- или двухлетних культур,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,,,,,11518000,1031,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447178,Выращивание масличных культур и их семян,true,,,,,,,,,,,,6200000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447179,Выращивание риса,false,,190672000,883,49024000,920,267188000,846,181389000,1031,218054000,994,61700000,957,4,Выращивание одно- или двухлетних культур,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447180,Выращивание риса,true,,190672000,883,49024000,920,267188000,846,181389000,1031,218054000,994,61700000,957,5,Выращивание риса,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,619000000,883,,,,,,,,,,,4,Выращивание одно- или двухлетних культур,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,КЫЗЫЛОРДА Г.А.
