id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,229985229000,883,243101265000,920,146713000000,846,271978320000,1031,189451800000,994,215292617000,957,0,,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,,,600000,920,50469000,846,3880000,1031,,,,,1,Всего,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,,,600000,920,50000000,846,3880000,1031,,,,,2,"Сельское, лесное и рыбное хозяйство",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,,,50000000,846,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447192,Выращивание прочих одно- или двухлетних культур,false,,,,,,50000000,846,,,,,,,4,Выращивание одно- или двухлетних культур,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447194,"Выращивание цветов, семеноводство цветочных культур",true,,,,,,50000000,846,,,,,,,5,Выращивание прочих одно- или двухлетних культур,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447218,Животноводство,false,,,,,,,,3880000,1031,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,,,,,,,3880000,1031,,,,,4,Животноводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,,,,,,,3880000,1031,,,,,5,Разведение прочего крупного рогатого скота и буйволов,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447239,Смешанное сельское хозяйство,false,,,,600000,920,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447240,Смешанное сельское хозяйство,false,,,,600000,920,,,,,,,,,4,Смешанное сельское хозяйство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447241,Смешанное сельское хозяйство,true,,,,600000,920,,,,,,,,,5,Смешанное сельское хозяйство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447268,Рыболовство и рыбоводство,false,,,,,,x,846,,,,,,,2,"Сельское, лесное и рыбное хозяйство",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447274,Рыбоводство,false,,,,,,x,846,,,,,,,3,Рыболовство и рыбоводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447275,Морское рыбоводство,false,,,,,,x,846,,,,,,,4,Рыбоводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
447276,Морское рыбоводство,true,,,,,,x,846,,,,,,,5,Морское рыбоводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
448148,Строительство,false,,6095099000,883,16183142000,920,5754834000,846,1534780000,1031,2929947000,994,6286358000,957,1,Всего,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710963,Строительство зданий,false,,1093827000,883,13456903000,920,778085000,846,270824000,1031,1659399000,994,4837111000,957,2,Строительство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710964,Разработка строительных проектов,false,,,,x,920,x,846,,,,,,,3,Строительство зданий,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710965,Разработка строительных проектов,false,,,,x,920,x,846,,,,,,,4,Разработка строительных проектов,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710966,Разработка строительных проектов,true,,,,x,920,x,846,,,,,,,5,Разработка строительных проектов,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710967,Строительство жилых и нежилых зданий,false,,1093827000,883,13448188000,920,777692000,846,270824000,1031,1659399000,994,4837111000,957,3,Строительство зданий,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710968,Строительство жилых и нежилых зданий,false,,1093827000,883,13448188000,920,777692000,846,270824000,1031,1659399000,994,4837111000,957,4,Строительство жилых и нежилых зданий,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18710969,Строительство жилых зданий,true,,1083328000,883,13380063000,920,763349000,846,270824000,1031,539220000,994,3293554000,957,5,Строительство жилых и нежилых зданий,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,10499000,883,68125000,920,14343000,846,,,x,994,x,957,5,Строительство жилых и нежилых зданий,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
448157,Гражданское строительство,false,,1886818000,883,1357776000,920,3567503000,846,26244000,1031,219258000,994,912092000,957,2,Строительство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
448158,Строительство автомобильных и железных дорог,false,,17649000,883,150667000,920,2722000,846,x,1031,x,994,x,957,3,Гражданское строительство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.
