id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,37206004000,883,45344919000,920,31335005000,846,108778138000,1031,83887954000,994,48098487000,957,0,,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,247591000,883,131758000,920,340297000,846,66379000,1031,103630000,994,,,1,Всего,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,247591000,883,131758000,920,340297000,846,66379000,1031,103630000,994,,,2,"Сельское, лесное и рыбное хозяйство",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,,,21368000,846,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,,,21368000,846,,,,,,,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,,,21368000,846,,,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447218,Животноводство,false,,233087000,883,131758000,920,318929000,846,66379000,1031,103630000,994,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,32419000,883,31334000,920,730000,846,,,900000,994,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447220,Разведение крупного рогатого скота молочного направления,true,,32419000,883,31334000,920,730000,846,,,900000,994,,,5,Разведение крупного рогатого скота молочного направления,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,44348000,883,,,249610000,846,,,96070000,994,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,44348000,883,,,249610000,846,,,96070000,994,,,5,Разведение прочего крупного рогатого скота и буйволов,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447223,Разведение лошадей и прочих животных семейства лошадиных,false,,15430000,883,2100000,920,,,,,,,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447224,Разведение лошадей,true,,15430000,883,2100000,920,,,,,,,,,5,Разведение лошадей и прочих животных семейства лошадиных,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447228,Разведение овец и коз,false,,51729000,883,,,,,,,6660000,994,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447229,Разведение овец и коз,true,,51729000,883,,,,,,,6660000,994,,,5,Разведение овец и коз,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,82961000,883,98324000,920,68589000,846,66379000,1031,,,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447235,"Производство смешанное, мясояичное",true,,82961000,883,98324000,920,68589000,846,66379000,1031,,,,,5,Разведение сельскохозяйственной птицы ,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447237,Разведение прочих видов животных,false,,6200000,883,,,,,,,,,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447238,Разведение прочих видов животных,true,,6200000,883,,,,,,,,,,,5,Разведение прочих видов животных,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447239,Смешанное сельское хозяйство,false,,14504000,883,,,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447240,Смешанное сельское хозяйство,false,,14504000,883,,,,,,,,,,,4,Смешанное сельское хозяйство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
447241,Смешанное сельское хозяйство,true,,14504000,883,,,,,,,,,,,5,Смешанное сельское хозяйство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.
