id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,2445658000,883,3743185000,920,3307171000,846,5596699000,1031,2355496000,994,4691915000,957,0,,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,,,,,,,,,,,x,957,1,Всего,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
447268,Рыболовство и рыбоводство,false,,,,,,,,,,,,x,957,2,"Сельское, лесное и рыбное хозяйство",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
447269,Рыболовство,false,,,,,,,,,,,,x,957,3,Рыболовство и рыбоводство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
447272,Пресноводное рыболовство,false,,,,,,,,,,,,x,957,4,Рыболовство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
447273,Пресноводное рыболовство,true,,,,,,,,,,,,x,957,5,Пресноводное рыболовство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448148,Строительство,false,,x,883,,,,,1550000,1031,,,456000000,957,1,Всего,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
18710963,Строительство зданий,false,,,,,,,,1550000,1031,,,,,2,Строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
18710967,Строительство жилых и нежилых зданий,false,,,,,,,,1550000,1031,,,,,3,Строительство зданий,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
18710968,Строительство жилых и нежилых зданий,false,,,,,,,,1550000,1031,,,,,4,Строительство жилых и нежилых зданий,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
18801543,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,,,,,,,,1550000,1031,,,,,5,Строительство жилых и нежилых зданий,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448157,Гражданское строительство,false,,,,,,,,,,,,250000000,957,2,Строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448165,Строительство распределительных инженерных сооружений,false,,,,,,,,,,,,250000000,957,3,Гражданское строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448166,Строительство трубопроводов,false,,,,,,,,,,,,250000000,957,4,Строительство распределительных инженерных сооружений,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448168,Строительство трубопроводов для систем водоснабжения и канализации,true,,,,,,,,,,,,250000000,957,5,Строительство трубопроводов,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448177,Специализированные строительные работы,false,,x,883,,,,,,,,,x,957,2,Строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448187,"Монтаж и установка электрического, водопроводного и прочего оборудования",false,,x,883,,,,,,,,,,,3,Специализированные строительные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448188,Электромонтажные работы,false,,x,883,,,,,,,,,,,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
18951435,Прочие электромонтажные работы,true,,x,883,,,,,,,,,,,5,Электромонтажные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448196,Отделочные работы,false,,,,,,,,,,,,x,957,3,Специализированные строительные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448205,Прочие отделочные работы,false,,,,,,,,,,,,x,957,4,Отделочные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448206,Прочие отделочные работы,true,,,,,,,,,,,,x,957,5,Прочие отделочные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448215,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,false,,,,214714000,920,x,846,548506000,1031,,,417261000,957,1,Всего,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448237,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",false,,,,x,920,,,548506000,1031,,,,,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448371,Неспециализированная оптовая торговля,false,,,,x,920,,,548506000,1031,,,,,3,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448372,Неспециализированная оптовая торговля,false,,,,x,920,,,548506000,1031,,,,,4,Неспециализированная оптовая торговля,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
448376,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,true,,,,x,920,,,548506000,1031,,,,,5,Неспециализированная оптовая торговля,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.
