id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,80132301000,883,62435265000,920,69732504000,846,77598513000,1031,61789205000,994,74993462000,957,0,,ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,96868000,883,3664821000,920,589315000,846,500371000,1031,194797000,994,135664000,957,1,Всего,ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,96868000,883,3664821000,920,589315000,846,500371000,1031,194797000,994,135664000,957,2,"Сельское, лесное и рыбное хозяйство",ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447175,Выращивание одно- или двухлетних культур,false,,23300000,883,3329251000,920,112752000,846,142400000,1031,137625000,994,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,23300000,883,11300000,920,104054000,846,135000000,1031,135915000,994,,,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,,,44750000,846,135000000,1031,22500000,994,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447178,Выращивание масличных культур и их семян,true,,23300000,883,11300000,920,59304000,846,,,113415000,994,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,3317951000,920,,,,,,,,,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,,,3317951000,920,,,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447192,Выращивание прочих одно- или двухлетних культур,false,,,,,,8698000,846,7400000,1031,1710000,994,,,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
447193,Выращивание кормовых культур и их семян,true,,,,,,8698000,846,,,,,,,5,Выращивание прочих одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,ТАЛДЫКОРГАН Г.А.
