id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,137211618000,883,192252049000,920,161716069000,846,270849746000,1031,222677468000,994,243880226000,957,0,,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,3754659000,883,10092153000,920,2125592000,846,985315000,1031,1980679000,994,505281000,957,1,Всего,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,3751761000,883,10092153000,920,2065192000,846,375339000,1031,1774823000,994,480387000,957,2,"Сельское, лесное и рыбное хозяйство",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447175,Выращивание одно- или двухлетних культур,false,,1251313000,883,52369000,920,1399753000,846,126807000,1031,583414000,994,319591000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,x,883,,,,,39093000,1031,360824000,994,x,957,4,Выращивание одно- или двухлетних культур,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,,,,,39093000,1031,360824000,994,x,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447178,Выращивание масличных культур и их семян,true,,x,883,,,,,,,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,835964000,883,52369000,920,1399753000,846,87714000,1031,222590000,994,27033000,957,4,Выращивание одно- или двухлетних культур,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447182,Выращивание картофеля и посадочного материала,true,,,,,,,,87714000,1031,222590000,994,27033000,957,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,573659000,883,52369000,920,1399753000,846,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447184,Выращивание сахарной свеклы и ее семян,true,,x,883,,,,,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447218,Животноводство,false,,2500448000,883,10039784000,920,615439000,846,238802000,1031,1171859000,994,160796000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
447219,Разведение крупного рогатого скота молочного направления,false,,510000000,883,9933571000,920,50000000,846,13550000,1031,,,,,4,Животноводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.
