id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,103892571000,883,126972533000,920,76467466000,846,266416631000,1031,198365069000,994,140323026000,957,0,,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,,,42117000,920,62742000,846,1052867000,1031,3779010000,994,1614086000,957,1,Всего,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,,,42117000,920,62742000,846,1028836000,1031,3728372000,994,1608512000,957,2,"Сельское, лесное и рыбное хозяйство",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,x,920,25893000,846,906540000,1031,3501424000,994,1596268000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,x,920,25893000,846,67338000,1031,28765000,994,55531000,957,4,Выращивание одно- или двухлетних культур,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,x,920,25893000,846,67338000,1031,28765000,994,55531000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,,,,,839202000,1031,3472659000,994,1540737000,957,4,Выращивание одно- или двухлетних культур,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,,,,,,,839202000,1031,3472659000,994,1540737000,957,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447218,Животноводство,false,,,,,,,,38900000,1031,205262000,994,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
447232,Разведение сельскохозяйственной птицы ,false,,,,,,,,38900000,1031,205262000,994,,,4,Животноводство,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.
