id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
741885,Всего,false,,369215728000,883,286031229000,920,96294123000,846,432190005000,1031,323548683000,994,306122538000,957,0,,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447173,"Сельское, лесное и рыбное хозяйство",false,,,,57830000,920,,,4645991000,1031,,,319653000,957,1,Всего,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447174,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,,,,57830000,920,,,4645991000,1031,,,319653000,957,2,"Сельское, лесное и рыбное хозяйство",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447175,Выращивание одно- или двухлетних культур,false,,,,57830000,920,,,1042479000,1031,,,250233000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,,,,57830000,920,,,,,,,238693000,957,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,,,,57830000,920,,,,,,,238693000,957,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,,,,,,,,788400000,1031,,,,,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447183,"Выращивание овощей, их семян и рассады",true,,,,,,,,788400000,1031,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447189,Выращивание прядильных культур,false,,,,,,,,254079000,1031,,,,,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447190,Выращивание хлопка-сырца,true,,,,,,,,254079000,1031,,,,,5,Выращивание прядильных культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447192,Выращивание прочих одно- или двухлетних культур,false,,,,,,,,,,,,11540000,957,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447193,Выращивание кормовых культур и их семян,true,,,,,,,,,,,,11540000,957,5,Выращивание прочих одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447196,Выращивание многолетних культур,false,,,,,,,,,,,,x,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447203,Выращивание семечковых и косточковых плодов,false,,,,,,,,,,,,x,957,4,Выращивание многолетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447204,Выращивание семечковых и косточковых плодов,true,,,,,,,,,,,,x,957,5,Выращивание семечковых и косточковых плодов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447218,Животноводство,false,,,,,,,,,,,,2960000,957,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447221,Разведение прочего крупного рогатого скота и буйволов,false,,,,,,,,,,,,2960000,957,4,Животноводство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
447222,Разведение прочего крупного рогатого скота и буйволов,true,,,,,,,,,,,,2960000,957,5,Разведение прочего крупного рогатого скота и буйволов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
18683346,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,,,,,,,,3603512000,1031,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.
