oblast,region,row_id,text,col,local_val,remote_val,action
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447176,"Выращивание зерновых (кроме риса), бобовых и масличных культур",y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,3783380,"Выращивание зерновых и зернобобовых культур, включая семеноводство",y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447181,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447183,"Выращивание овощей, их семян и рассады",y122020,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447183,"Выращивание овощей, их семян и рассады",y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447183,"Выращивание овощей, их семян и рассады",y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447193,Выращивание кормовых культур и их семян,y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447197,Выращивание винограда,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447197,Выращивание винограда,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447197,Выращивание винограда,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447198,Выращивание винограда,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447198,Выращивание винограда,y122019,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447198,Выращивание винограда,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447205,"Выращивание прочих плодов, ягод и орехов",y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447206,"Выращивание прочих плодов, ягод и орехов",y122024,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447215,Воспроизводство растений,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447215,Воспроизводство растений,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447216,Воспроизводство растений,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447216,Воспроизводство растений,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447217,Воспроизводство растений,y122021,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447217,Воспроизводство растений,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447221,Разведение прочего крупного рогатого скота и буйволов,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447221,Разведение прочего крупного рогатого скота и буйволов,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447222,Разведение прочего крупного рогатого скота и буйволов,y122023,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447222,Разведение прочего крупного рогатого скота и буйволов,y122022,,x,PATCHED
АЛМАТИНСКАЯ ОБЛАСТЬ,ЕНБЕКШИКАЗАХСКИЙ РАЙОН,447223,Разведение лошадей и прочих животных семейства лошадиных,y122021,,x,PATCHED
