id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,20802,Всего,false,false,,115014410000,883.0,130741265000,920.0,77307093000,846.0,185148387000,1031.0,180734625000,994.0,156553216000,957.0,0,,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,
447173,640947,"Сельское, лесное и рыбное хозяйство",false,False,,7797000,883.0,55943000,920.0,177944000,846.0,57470000,1031.0,2603943000,994.0,,,1,Всего,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447174,644930,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,7797000,883.0,55943000,920.0,177944000,846.0,57470000,1031.0,2603943000,994.0,,,2,"Сельское, лесное и рыбное хозяйство",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447175,4103469,Выращивание одно- или двухлетних культур,false,False,,,,55943000,920.0,,,18690000,1031.0,14800000,994.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447176,4380542,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,,,x,920.0,,,,,,,,,4,Выращивание одно- или двухлетних культур,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
3783380,4379691,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,,,x,920.0,,,,,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447181,4107463,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,,,600000,920.0,,,18690000,1031.0,14800000,994.0,,,4,Выращивание одно- или двухлетних культур,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447183,4100282,"Выращивание овощей, их семян и рассады",true,False,,,,600000,920.0,,,18690000,1031.0,14800000,994.0,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447218,1345921,Животноводство,false,False,,,,,,177944000,846.0,38780000,1031.0,2589143000,994.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447221,1335945,Разведение прочего крупного рогатого скота и буйволов,false,False,,,,,,177944000,846.0,,,,,,,4,Животноводство,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447222,1393003,Разведение прочего крупного рогатого скота и буйволов,true,False,,,,,,177944000,846.0,,,,,,,5,Разведение прочего крупного рогатого скота и буйволов,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447232,5262413,Разведение сельскохозяйственной птицы ,false,False,,,,,,,,38780000,1031.0,2589143000,994.0,,,4,Животноводство,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447233,5265540,"Разведение птицы на мясо, племенной птицы и молодняка",true,False,,,,,,,,38780000,1031.0,2589143000,994.0,,,5,Разведение сельскохозяйственной птицы ,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447239,2761833,Смешанное сельское хозяйство,false,False,,566000,883.0,,,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
447240,2761831,Смешанное сельское хозяйство,false,False,,566000,883.0,,,,,,,,,,,4,Смешанное сельское хозяйство,ЖАМБЫЛСКАЯ ОБЛАСТЬ,ТАРАЗ Г.А.,0
