id,rownum,text,leaf,expanded,measureName,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,y122019,122019,depth,parent_text,oblast,region,flatDic
741885,28159,Всего,false,false,,292328842000,957.0,360346949000,994.0,289732504000,1031.0,238502463000,883.0,277949338000,920.0,201616326000,846.0,0,,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,
447173,28146,"Сельское, лесное и рыбное хозяйство",false,False,,1339641000,957.0,557586000,994.0,206581000,1031.0,6392047000,883.0,3522614000,920.0,5361859000,846.0,1,Всего,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447174,91218,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,1333891000,957.0,557586000,994.0,206581000,1031.0,6392047000,883.0,3522614000,920.0,5361859000,846.0,2,"Сельское, лесное и рыбное хозяйство",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447175,91153,Выращивание одно- или двухлетних культур,false,False,,1212904000,957.0,468056000,994.0,94670000,1031.0,1367856000,883.0,3470864000,920.0,4651594000,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447176,1315320,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,66686000,957.0,167311000,994.0,4971000,1031.0,70254000,883.0,445871000,920.0,x,846.0,4,Выращивание одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
3783380,1282214,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,66686000,957.0,167311000,994.0,4971000,1031.0,70254000,883.0,445871000,920.0,x,846.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447181,91150,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,1146218000,957.0,300745000,994.0,84199000,1031.0,1297602000,883.0,3024993000,920.0,4493860000,846.0,4,Выращивание одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447182,2847303,Выращивание картофеля и посадочного материала,true,False,,,,56471000,994.0,,,x,883.0,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447183,91147,"Выращивание овощей, их семян и рассады",true,False,,1146218000,957.0,244274000,994.0,84199000,1031.0,1296476000,883.0,3024993000,920.0,4493860000,846.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447192,6052958,Выращивание прочих одно- или двухлетних культур,false,False,,,,,,x,1031.0,,,,,,,4,Выращивание одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447193,6052833,Выращивание кормовых культур и их семян,true,False,,,,,,x,1031.0,,,,,,,5,Выращивание прочих одно- или двухлетних культур,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447218,393241,Животноводство,false,False,,119576000,957.0,16735000,994.0,64216000,1031.0,5022839000,883.0,51750000,920.0,697470000,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447219,4652241,Разведение крупного рогатого скота молочного направления,false,False,,19120000,957.0,,,27273000,1031.0,,,,,,,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447220,4651509,Разведение крупного рогатого скота молочного направления,true,False,,19120000,957.0,,,27273000,1031.0,,,,,,,5,Разведение крупного рогатого скота молочного направления,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447221,2869433,Разведение прочего крупного рогатого скота и буйволов,false,False,,50460000,957.0,3615000,994.0,x,1031.0,11694000,883.0,30350000,920.0,,,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447222,2869431,Разведение прочего крупного рогатого скота и буйволов,true,False,,50460000,957.0,3615000,994.0,x,1031.0,11694000,883.0,30350000,920.0,,,5,Разведение прочего крупного рогатого скота и буйволов,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447223,467241,Разведение лошадей и прочих животных семейства лошадиных,false,False,,5768000,957.0,2500000,994.0,,,,,8300000,920.0,17000000,846.0,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447224,437222,Разведение лошадей,true,False,,5768000,957.0,2500000,994.0,,,,,8300000,920.0,17000000,846.0,5,Разведение лошадей и прочих животных семейства лошадиных,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447228,4235255,Разведение овец и коз,false,False,,,,10620000,994.0,,,,,13100000,920.0,,,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447229,4204108,Разведение овец и коз,true,False,,,,10620000,994.0,,,,,13100000,920.0,,,5,Разведение овец и коз,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447232,1399350,Разведение сельскохозяйственной птицы ,false,False,,x,957.0,,,,,5011145000,883.0,,,680470000,846.0,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447233,1362263,"Разведение птицы на мясо, племенной птицы и молодняка",true,False,,,,,,,,x,883.0,,,x,846.0,5,Разведение сельскохозяйственной птицы ,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447234,1257742,Производство яиц,true,False,,x,957.0,,,,,11145000,883.0,,,x,846.0,5,Разведение сельскохозяйственной птицы ,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447237,4912788,Разведение прочих видов животных,false,False,,20500000,957.0,,,,,,,,,,,4,Животноводство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447238,4906779,Разведение прочих видов животных,true,False,,20500000,957.0,,,,,,,,,,,5,Разведение прочих видов животных,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447239,1373540,Смешанное сельское хозяйство,false,False,,,,57995000,994.0,38500000,1031.0,x,883.0,,,x,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447240,1347722,Смешанное сельское хозяйство,false,False,,,,57995000,994.0,38500000,1031.0,x,883.0,,,x,846.0,4,Смешанное сельское хозяйство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447241,1362598,Смешанное сельское хозяйство,true,False,,,,57995000,994.0,38500000,1031.0,x,883.0,,,x,846.0,5,Смешанное сельское хозяйство,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447252,5597253,"Охота и отлов, включая предоставление услуг в этих областях",false,False,,,,x,994.0,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447253,5601117,"Охота и отлов, включая предоставление услуг в этих областях",false,False,,,,x,994.0,,,,,,,,,4,"Охота и отлов, включая предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447254,5604046,"Охота и отлов, включая предоставление услуг в этих областях",true,False,,,,x,994.0,,,,,,,,,5,"Охота и отлов, включая предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
18683346,4525160,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,x,957.0,,,9195000,1031.0,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
18683347,4525617,"Деятельность, способствующая растениеводству",false,False,,x,957.0,,,9195000,1031.0,,,,,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
18683349,4524978,Эксплуатация оросительных систем,true,False,,x,957.0,,,9195000,1031.0,,,,,,,5,"Деятельность, способствующая растениеводству",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447255,5079470,Лесоводство и лесозаготовки,false,False,,x,957.0,,,,,,,,,,,2,"Сельское, лесное и рыбное хозяйство",АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447256,5099155,Лесоводство и прочая лесохозяйственная деятельность,false,False,,x,957.0,,,,,,,,,,,3,Лесоводство и лесозаготовки,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447257,5097495,Лесоводство и прочая лесохозяйственная деятельность,false,False,,x,957.0,,,,,,,,,,,4,Лесоводство и прочая лесохозяйственная деятельность,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
447258,5100599,Лесоводство и прочая лесохозяйственная деятельность,true,False,,x,957.0,,,,,,,,,,,5,Лесоводство и прочая лесохозяйственная деятельность,АКТЮБИНСКАЯ ОБЛАСТЬ,АКТОБЕ Г.А.,0
