id,rownum,text,leaf,expanded,measureName,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,y122019,122019,depth,parent_text,oblast,region,flatDic
741885,29823,Всего,false,false,,59501835000,957.0,91588507000,994.0,100041974000,1031.0,40370240000,883.0,39786249000,920.0,34667607000,846.0,0,,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,
447173,170118,"Сельское, лесное и рыбное хозяйство",false,False,,5084284000,957.0,26981078000,994.0,2039768000,1031.0,329840000,883.0,1757933000,920.0,630281000,846.0,1,Всего,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447174,170115,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,2035018000,957.0,21135631000,994.0,1189583000,1031.0,320196000,883.0,151750000,920.0,630281000,846.0,2,"Сельское, лесное и рыбное хозяйство",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447175,170112,Выращивание одно- или двухлетних культур,false,False,,65007000,957.0,21111541000,994.0,1030102000,1031.0,x,883.0,102019000,920.0,109325000,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447176,1264455,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,3768000,957.0,144566000,994.0,19300000,1031.0,,,,,x,846.0,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
3783380,1261843,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,3768000,957.0,144566000,994.0,19300000,1031.0,,,,,x,846.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447181,170109,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,35319000,957.0,20966975000,994.0,821806000,1031.0,x,883.0,65019000,920.0,75833000,846.0,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447183,170587,"Выращивание овощей, их семян и рассады",true,False,,35319000,957.0,20966975000,994.0,821806000,1031.0,x,883.0,65019000,920.0,x,846.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447184,1305922,Выращивание сахарной свеклы и ее семян,true,False,,,,,,,,,,,,x,846.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447192,4104158,Выращивание прочих одно- или двухлетних культур,false,False,,25920000,957.0,,,188996000,1031.0,,,x,920.0,,,4,Выращивание одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447193,5695286,Выращивание кормовых культур и их семян,true,False,,,,,,x,1031.0,,,,,,,5,Выращивание прочих одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447195,4100408,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",true,False,,25920000,957.0,,,16327000,1031.0,,,x,920.0,,,5,Выращивание прочих одно- или двухлетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447196,5099701,Выращивание многолетних культур,false,False,,x,957.0,,,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447213,5100413,Выращивание прочих многолетних культур,false,False,,x,957.0,,,,,,,,,,,4,Выращивание многолетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447214,5099634,Выращивание прочих многолетних культур,true,False,,x,957.0,,,,,,,,,,,5,Выращивание прочих многолетних культур,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447218,463064,Животноводство,false,False,,x,957.0,,,x,1031.0,x,883.0,x,920.0,385300000,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447221,388019,Разведение прочего крупного рогатого скота и буйволов,false,False,,,,,,,,x,883.0,x,920.0,385300000,846.0,4,Животноводство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447222,431737,Разведение прочего крупного рогатого скота и буйволов,true,False,,,,,,,,x,883.0,x,920.0,385300000,846.0,5,Разведение прочего крупного рогатого скота и буйволов,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447232,4399795,Разведение сельскохозяйственной птицы ,false,False,,x,957.0,,,x,1031.0,,,,,,,4,Животноводство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447234,5100442,Производство яиц,true,False,,x,957.0,,,x,1031.0,,,,,,,5,Разведение сельскохозяйственной птицы ,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447239,312142,Смешанное сельское хозяйство,false,False,,139504000,957.0,24090000,994.0,15700000,1031.0,x,883.0,5265000,920.0,109604000,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447240,312140,Смешанное сельское хозяйство,false,False,,139504000,957.0,24090000,994.0,15700000,1031.0,x,883.0,5265000,920.0,109604000,846.0,4,Смешанное сельское хозяйство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447241,312138,Смешанное сельское хозяйство,true,False,,139504000,957.0,24090000,994.0,15700000,1031.0,x,883.0,5265000,920.0,109604000,846.0,5,Смешанное сельское хозяйство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
18683346,1365534,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,,,,,,,x,883.0,x,920.0,x,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
18683347,1338122,"Деятельность, способствующая растениеводству",false,False,,,,,,,,x,883.0,x,920.0,x,846.0,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
18683349,1302210,Эксплуатация оросительных систем,true,False,,,,,,,,x,883.0,x,920.0,x,846.0,5,"Деятельность, способствующая растениеводству",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447255,6104452,Лесоводство и лесозаготовки,false,False,,,,,,63484000,1031.0,,,,,,,2,"Сельское, лесное и рыбное хозяйство",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447256,6050242,Лесоводство и прочая лесохозяйственная деятельность,false,False,,,,,,63484000,1031.0,,,,,,,3,Лесоводство и лесозаготовки,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447257,6051254,Лесоводство и прочая лесохозяйственная деятельность,false,False,,,,,,63484000,1031.0,,,,,,,4,Лесоводство и прочая лесохозяйственная деятельность,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447258,6053893,Лесоводство и прочая лесохозяйственная деятельность,true,False,,,,,,63484000,1031.0,,,,,,,5,Лесоводство и прочая лесохозяйственная деятельность,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447268,2834286,Рыболовство и рыбоводство,false,False,,3049266000,957.0,5845447000,994.0,x,1031.0,x,883.0,1606183000,920.0,,,2,"Сельское, лесное и рыбное хозяйство",АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447269,2834283,Рыболовство,false,False,,3047664000,957.0,x,994.0,x,1031.0,x,883.0,1606183000,920.0,,,3,Рыболовство и рыбоводство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447272,2834280,Пресноводное рыболовство,false,False,,3047664000,957.0,x,994.0,x,1031.0,x,883.0,1606183000,920.0,,,4,Рыболовство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447273,2834277,Пресноводное рыболовство,true,False,,3047664000,957.0,x,994.0,x,1031.0,x,883.0,1606183000,920.0,,,5,Пресноводное рыболовство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447274,4840472,Рыбоводство,false,False,,x,957.0,1422000,994.0,,,,,,,,,3,Рыболовство и рыбоводство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447277,4840387,Пресноводное рыбоводство,false,False,,x,957.0,1422000,994.0,,,,,,,,,4,Рыбоводство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
447278,4870699,Пресноводное рыбоводство,true,False,,x,957.0,1422000,994.0,,,,,,,,,5,Пресноводное рыбоводство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448148,244208,Строительство,false,False,,68919000,957.0,460289000,994.0,433112000,1031.0,92722000,883.0,101392000,920.0,16844000,846.0,1,Всего,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448157,631640,Гражданское строительство,false,False,,65021000,957.0,93000,994.0,,,80133000,883.0,94581000,920.0,1569000,846.0,2,Строительство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448158,1381804,Строительство автомобильных и железных дорог,false,False,,61482000,957.0,,,,,80133000,883.0,92118000,920.0,876000,846.0,3,Гражданское строительство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448161,2748443,Строительство железных дорог и метро,false,False,,60609000,957.0,,,,,69223000,883.0,75758000,920.0,,,4,Строительство автомобильных и железных дорог,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448162,2748440,Строительство железных дорог и метро,true,False,,60609000,957.0,,,,,69223000,883.0,75758000,920.0,,,5,Строительство железных дорог и метро,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448163,1304465,Строительство мостов и туннелей,false,False,,x,957.0,,,,,x,883.0,x,920.0,876000,846.0,4,Строительство автомобильных и железных дорог,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448164,1354652,Строительство мостов и туннелей,true,False,,x,957.0,,,,,x,883.0,x,920.0,876000,846.0,5,Строительство мостов и туннелей,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448165,1291041,Строительство распределительных инженерных сооружений,false,False,,x,957.0,93000,994.0,,,,,x,920.0,x,846.0,3,Гражданское строительство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448166,1338427,Строительство трубопроводов,false,False,,x,957.0,93000,994.0,,,,,x,920.0,x,846.0,4,Строительство распределительных инженерных сооружений,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448169,1342662,Строительство прочих трубопроводов,true,False,,x,957.0,93000,994.0,,,,,x,920.0,x,846.0,5,Строительство трубопроводов,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
448177,643607,Специализированные строительные работы,false,False,,,,456826000,994.0,x,1031.0,1403000,883.0,,,15005000,846.0,2,Строительство,АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,0
