id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,21639,Всего,false,false,,611900523000,883.0,714094053000,920.0,447719528000,846.0,522641833000,1031.0,450674185000,994.0,450626045000,957.0,0,,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,
447173,251564,"Сельское, лесное и рыбное хозяйство",false,False,,441097000,883.0,135214000,920.0,500693000,846.0,418968000,1031.0,121149000,994.0,940120000,957.0,1,Всего,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447174,251562,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,433997000,883.0,133990000,920.0,480836000,846.0,418968000,1031.0,119042000,994.0,901317000,957.0,2,"Сельское, лесное и рыбное хозяйство",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447175,251560,Выращивание одно- или двухлетних культур,false,False,,349500000,883.0,76891000,920.0,91556000,846.0,31528000,1031.0,34776000,994.0,68249000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447181,1273137,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,201700000,883.0,76891000,920.0,x,846.0,25914000,1031.0,31639000,994.0,38160000,957.0,4,Выращивание одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447183,1360140,"Выращивание овощей, их семян и рассады",true,False,,201700000,883.0,76891000,920.0,x,846.0,25914000,1031.0,31639000,994.0,38160000,957.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447192,251558,Выращивание прочих одно- или двухлетних культур,false,False,,147800000,883.0,,,x,846.0,5614000,1031.0,3137000,994.0,30089000,957.0,4,Выращивание одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447193,1292174,Выращивание кормовых культур и их семян,true,False,,,,,,x,846.0,,,,,,,5,Выращивание прочих одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447195,251556,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",true,False,,147800000,883.0,,,,,5614000,1031.0,3137000,994.0,30089000,957.0,5,Выращивание прочих одно- или двухлетних культур,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447218,251554,Животноводство,false,False,,13860000,883.0,19142000,920.0,10000000,846.0,42116000,1031.0,4990000,994.0,54981000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447219,251552,Разведение крупного рогатого скота молочного направления,false,False,,10810000,883.0,1330000,920.0,,,27400000,1031.0,,,25475000,957.0,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447220,251550,Разведение крупного рогатого скота молочного направления,true,False,,10810000,883.0,1330000,920.0,,,27400000,1031.0,,,25475000,957.0,5,Разведение крупного рогатого скота молочного направления,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447221,251548,Разведение прочего крупного рогатого скота и буйволов,false,False,,3050000,883.0,5960000,920.0,10000000,846.0,,,,,,,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447222,251546,Разведение прочего крупного рогатого скота и буйволов,true,False,,3050000,883.0,5960000,920.0,10000000,846.0,,,,,,,5,Разведение прочего крупного рогатого скота и буйволов,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447232,5551246,Разведение сельскохозяйственной птицы ,false,False,,,,,,,,96000,1031.0,,,,,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447233,5551933,"Разведение птицы на мясо, племенной птицы и молодняка",true,False,,,,,,,,96000,1031.0,,,,,5,Разведение сельскохозяйственной птицы ,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447237,3910637,Разведение прочих видов животных,false,False,,,,11852000,920.0,,,14620000,1031.0,4990000,994.0,29506000,957.0,4,Животноводство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447238,3910211,Разведение прочих видов животных,true,False,,,,11852000,920.0,,,14620000,1031.0,4990000,994.0,29506000,957.0,5,Разведение прочих видов животных,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447239,251544,Смешанное сельское хозяйство,false,False,,41919000,883.0,,,352821000,846.0,341144000,1031.0,76900000,994.0,774917000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447240,251542,Смешанное сельское хозяйство,false,False,,41919000,883.0,,,352821000,846.0,341144000,1031.0,76900000,994.0,774917000,957.0,4,Смешанное сельское хозяйство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
447241,251540,Смешанное сельское хозяйство,true,False,,41919000,883.0,,,352821000,846.0,341144000,1031.0,76900000,994.0,774917000,957.0,5,Смешанное сельское хозяйство,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683346,1424810,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,28718000,883.0,37957000,920.0,26459000,846.0,4180000,1031.0,2376000,994.0,3170000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683347,1361830,"Деятельность, способствующая растениеводству",false,False,,28718000,883.0,37957000,920.0,26459000,846.0,4180000,1031.0,936000,994.0,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683349,1275100,Эксплуатация оросительных систем,true,False,,28718000,883.0,37957000,920.0,26459000,846.0,4180000,1031.0,936000,994.0,,,5,"Деятельность, способствующая растениеводству",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683350,5472609,"Деятельность, способствующая животноводству",false,False,,,,,,,,,,1440000,994.0,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683351,5464276,"Деятельность, способствующая животноводству",true,False,,,,,,,,,,1440000,994.0,,,5,"Деятельность, способствующая животноводству",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683354,4907956,Деятельность по обработке семян для посадки,false,False,,,,,,,,,,,,3170000,957.0,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
18683355,4916128,Деятельность по обработке семян для посадки,true,False,,,,,,,,,,,,3170000,957.0,5,Деятельность по обработке семян для посадки,АТЫРАУСКАЯ ОБЛАСТЬ,АТЫРАУ Г.А.,0
