id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,35189,Всего,false,false,,150065838000,883.0,184870277000,920.0,136214790000,846.0,354275304000,1031.0,319844477000,994.0,232449375000,957.0,0,,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,
447173,310220,"Сельское, лесное и рыбное хозяйство",false,False,,147552000,883.0,1302357000,920.0,278938000,846.0,268135000,1031.0,778803000,994.0,3315157000,957.0,1,Всего,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447174,310217,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,145764000,883.0,1299478000,920.0,277358000,846.0,186329000,1031.0,727500000,994.0,3312449000,957.0,2,"Сельское, лесное и рыбное хозяйство",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447175,310213,Выращивание одно- или двухлетних культур,false,False,,120079000,883.0,148874000,920.0,272292000,846.0,148347000,1031.0,563617000,994.0,124679000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447176,310206,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,39575000,883.0,96821000,920.0,217234000,846.0,81879000,1031.0,128813000,994.0,16071000,957.0,4,Выращивание одно- или двухлетних культур,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
3783380,310201,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,39575000,883.0,96821000,920.0,217234000,846.0,81879000,1031.0,128813000,994.0,16071000,957.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447181,310199,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,x,883.0,x,920.0,x,846.0,x,1031.0,x,994.0,x,957.0,4,Выращивание одно- или двухлетних культур,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447182,310196,Выращивание картофеля и посадочного материала,true,False,,x,883.0,x,920.0,x,846.0,x,1031.0,x,994.0,x,957.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447218,1356908,Животноводство,false,False,,,,622725000,920.0,5066000,846.0,2000000,1031.0,138406000,994.0,2976635000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447219,2886644,Разведение крупного рогатого скота молочного направления,false,False,,,,,,,,2000000,1031.0,,,78729000,957.0,4,Животноводство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447220,2886641,Разведение крупного рогатого скота молочного направления,true,False,,,,,,,,2000000,1031.0,,,78729000,957.0,5,Разведение крупного рогатого скота молочного направления,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447232,1333099,Разведение сельскохозяйственной птицы ,false,False,,,,622725000,920.0,5066000,846.0,,,138406000,994.0,2897906000,957.0,4,Животноводство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447233,1312733,"Разведение птицы на мясо, племенной птицы и молодняка",true,False,,,,622725000,920.0,5066000,846.0,,,138406000,994.0,2897906000,957.0,5,Разведение сельскохозяйственной птицы ,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447239,2807748,Смешанное сельское хозяйство,false,False,,x,883.0,x,920.0,,,6227000,1031.0,14613000,994.0,x,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447240,2807745,Смешанное сельское хозяйство,false,False,,x,883.0,x,920.0,,,6227000,1031.0,14613000,994.0,x,957.0,4,Смешанное сельское хозяйство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447241,2807742,Смешанное сельское хозяйство,true,False,,x,883.0,x,920.0,,,6227000,1031.0,14613000,994.0,x,957.0,5,Смешанное сельское хозяйство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683346,2886638,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,x,883.0,493434000,920.0,,,29755000,1031.0,10864000,994.0,x,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683347,2886635,"Деятельность, способствующая растениеводству",false,False,,x,883.0,x,920.0,,,29755000,1031.0,,,x,957.0,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683348,2886632,"Деятельность, способствующая растениеводству, кроме эксплуатации оросительных систем",true,False,,x,883.0,x,920.0,,,29755000,1031.0,,,x,957.0,5,"Деятельность, способствующая растениеводству",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683350,4983164,"Деятельность, способствующая животноводству",false,False,,,,,,,,,,10864000,994.0,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683351,4983167,"Деятельность, способствующая животноводству",true,False,,,,,,,,,,10864000,994.0,,,5,"Деятельность, способствующая животноводству",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683354,4238461,Деятельность по обработке семян для посадки,false,False,,,,464426000,920.0,,,,,,,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
18683355,4241450,Деятельность по обработке семян для посадки,true,False,,,,464426000,920.0,,,,,,,,,5,Деятельность по обработке семян для посадки,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447268,310193,Рыболовство и рыбоводство,false,False,,x,883.0,2879000,920.0,x,846.0,81806000,1031.0,51303000,994.0,2708000,957.0,2,"Сельское, лесное и рыбное хозяйство",ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447269,310191,Рыболовство,false,False,,x,883.0,2879000,920.0,x,846.0,2722000,1031.0,5062000,994.0,2708000,957.0,3,Рыболовство и рыбоводство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447272,310189,Пресноводное рыболовство,false,False,,x,883.0,2879000,920.0,x,846.0,2722000,1031.0,5062000,994.0,2708000,957.0,4,Рыболовство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447273,310187,Пресноводное рыболовство,true,False,,x,883.0,2879000,920.0,x,846.0,2722000,1031.0,5062000,994.0,2708000,957.0,5,Пресноводное рыболовство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447274,4426252,Рыбоводство,false,False,,,,,,,,79084000,1031.0,x,994.0,,,3,Рыболовство и рыбоводство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447277,4423580,Пресноводное рыбоводство,false,False,,,,,,,,79084000,1031.0,x,994.0,,,4,Рыбоводство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
447278,4423775,Пресноводное рыбоводство,true,False,,,,,,,,79084000,1031.0,x,994.0,,,5,Пресноводное рыбоводство,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УСТЬ-КАМЕНОГОРСК Г.А.,0
