id,rownum,text,leaf,expanded,measureName,y122019,122019,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,depth,parent_text,oblast,region,flatDic
741885,39941,Всего,false,false,,170668856000,846.0,269311878000,957.0,360467809000,994.0,331929504000,1031.0,165353200000,883.0,188464918000,920.0,0,,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,
447173,5235092,"Сельское, лесное и рыбное хозяйство",false,False,,,,,,x,994.0,,,,,,,1,Всего,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
447174,5237203,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,,,,,x,994.0,,,,,,,2,"Сельское, лесное и рыбное хозяйство",Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
18683346,5236369,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,,,,,x,994.0,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
18683350,5237044,"Деятельность, способствующая животноводству",false,False,,,,,,x,994.0,,,,,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
18683351,5236484,"Деятельность, способствующая животноводству",true,False,,,,,,x,994.0,,,,,,,5,"Деятельность, способствующая животноводству",Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448148,39858,Строительство,false,False,,1083665000,846.0,544069000,957.0,2666844000,994.0,1146683000,1031.0,2194645000,883.0,2335802000,920.0,1,Всего,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448157,40365,Гражданское строительство,false,False,,177889000,846.0,181450000,957.0,2207355000,994.0,207888000,1031.0,842071000,883.0,136597000,920.0,2,Строительство,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448158,2752838,Строительство автомобильных и железных дорог,false,False,,,,113631000,957.0,2132345000,994.0,x,1031.0,757345000,883.0,19120000,920.0,3,Гражданское строительство,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448161,6008327,Строительство железных дорог и метро,false,False,,,,,,,,x,1031.0,,,,,4,Строительство автомобильных и железных дорог,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448162,6007544,Строительство железных дорог и метро,true,False,,,,,,,,x,1031.0,,,,,5,Строительство железных дорог и метро,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
18696143,2752835,Строительство автомобильных дорог,false,False,,,,113631000,957.0,2132345000,994.0,,,757345000,883.0,19120000,920.0,4,Строительство автомобильных и железных дорог,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
18946136,2752832,Строительство дорог и автомагистралей,true,False,,,,99852000,957.0,85131000,994.0,,,741963000,883.0,19120000,920.0,5,Строительство автомобильных дорог,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
18946137,2857805,"Деятельность по организации строительства, реконструкции, ремонта, платного движения и содержания автомобильных дорог (участков) общего пользования международного и республиканского значения",true,False,,,,x,957.0,x,994.0,,,x,883.0,,,5,Строительство автомобильных дорог,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448165,128023,Строительство распределительных инженерных сооружений,false,False,,105480000,846.0,63675000,957.0,72027000,994.0,191976000,1031.0,26800000,883.0,50559000,920.0,3,Гражданское строительство,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448166,128016,Строительство трубопроводов,false,False,,105480000,846.0,x,957.0,x,994.0,x,1031.0,16815000,883.0,x,920.0,4,Строительство распределительных инженерных сооружений,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448167,286432,Строительство нефтяных и газовых магистральных трубопроводов,true,False,,x,846.0,x,957.0,x,994.0,x,1031.0,x,883.0,x,920.0,5,Строительство трубопроводов,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448168,40363,Строительство трубопроводов для систем водоснабжения и канализации,true,False,,x,846.0,,,,,,,x,883.0,,,5,Строительство трубопроводов,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
448169,1246536,Строительство прочих трубопроводов,true,False,,x,846.0,,,,,,,,,,,5,Строительство трубопроводов,Г.АЛМАТЫ,МЕДЕУСКИЙ РАЙОН,0
