id,rownum,text,leaf,expanded,measureName,y122019,122019,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,depth,parent_text,oblast,region,flatDic
741885,29438,Всего,false,false,,102988902000,846.0,217747474000,957.0,237353359000,994.0,180879191000,1031.0,164928036000,883.0,154704010000,920.0,0,,Г.АСТАНА,РАЙОН АЛМАТЫ,
448148,29224,Строительство,false,False,,1267637000,846.0,3396545000,957.0,1273245000,994.0,1203453000,1031.0,873746000,883.0,1709830000,920.0,1,Всего,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448157,210733,Гражданское строительство,false,False,,303921000,846.0,3040509000,957.0,776825000,994.0,624988000,1031.0,418637000,883.0,580833000,920.0,2,Строительство,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448158,210730,Строительство автомобильных и железных дорог,false,False,,253958000,846.0,2656517000,957.0,240352000,994.0,558908000,1031.0,281949000,883.0,313810000,920.0,3,Гражданское строительство,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448161,210723,Строительство железных дорог и метро,false,False,,35963000,846.0,2611229000,957.0,,,42490000,1031.0,,,8890000,920.0,4,Строительство автомобильных и железных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448162,210721,Строительство железных дорог и метро,true,False,,35963000,846.0,2611229000,957.0,,,42490000,1031.0,,,8890000,920.0,5,Строительство железных дорог и метро,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18696143,210727,Строительство автомобильных дорог,false,False,,217995000,846.0,45288000,957.0,240352000,994.0,516418000,1031.0,281949000,883.0,304920000,920.0,4,Строительство автомобильных и железных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18946136,210725,Строительство дорог и автомагистралей,true,False,,217995000,846.0,27938000,957.0,240352000,994.0,516418000,1031.0,281949000,883.0,304920000,920.0,5,Строительство автомобильных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18946137,5100681,"Деятельность по организации строительства, реконструкции, ремонта, платного движения и содержания автомобильных дорог (участков) общего пользования международного и республиканского значения",true,False,,,,x,957.0,,,,,,,,,5,Строительство автомобильных дорог,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448165,1332584,Строительство распределительных инженерных сооружений,false,False,,x,846.0,297427000,957.0,131950000,994.0,,,x,883.0,190005000,920.0,3,Гражданское строительство,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448166,1351079,Строительство трубопроводов,false,False,,x,846.0,x,957.0,131950000,994.0,,,,,171670000,920.0,4,Строительство распределительных инженерных сооружений,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448168,1268002,Строительство трубопроводов для систем водоснабжения и канализации,true,False,,x,846.0,x,957.0,131950000,994.0,,,,,171670000,920.0,5,Строительство трубопроводов,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448170,2787902,Строительство линий электропередач и телекоммуникаций ,false,False,,,,22342000,957.0,,,,,x,883.0,x,920.0,4,Строительство распределительных инженерных сооружений,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448171,2787900,Строительство линий электропередач и телекоммуникаций ,true,False,,,,22342000,957.0,,,,,x,883.0,x,920.0,5,Строительство линий электропередач и телекоммуникаций ,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18696516,1354166,Строительство прочих инженерных сооружений,false,False,,30848000,846.0,86565000,957.0,404523000,994.0,66080000,1031.0,136426000,883.0,77018000,920.0,3,Гражданское строительство,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18696517,1259697,"Строительство прочих инженерных сооружений, не включенных в другие группировки",false,False,,30848000,846.0,86565000,957.0,404523000,994.0,66080000,1031.0,136426000,883.0,77018000,920.0,4,Строительство прочих инженерных сооружений,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18696518,1350725,"Строительство прочих инженерных сооружений, не включенных в другие группировки",true,False,,30848000,846.0,86565000,957.0,404523000,994.0,66080000,1031.0,136426000,883.0,77018000,920.0,5,"Строительство прочих инженерных сооружений, не включенных в другие группировки",Г.АСТАНА,РАЙОН АЛМАТЫ,0
448177,210719,Специализированные строительные работы,false,False,,631282000,846.0,115954000,957.0,89557000,994.0,480403000,1031.0,78333000,883.0,200340000,920.0,2,Строительство,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448178,1435857,"Снос  зданий и сооружений, подготовка строительного участка",false,False,,x,846.0,,,,,,,,,,,3,Специализированные строительные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448181,1313980,Подготовка строительного участка,false,False,,x,846.0,,,,,,,,,,,4,"Снос  зданий и сооружений, подготовка строительного участка",Г.АСТАНА,РАЙОН АЛМАТЫ,0
448182,1420196,Земляные работы,true,False,,x,846.0,,,,,,,,,,,5,Подготовка строительного участка,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448187,284507,"Монтаж и установка электрического, водопроводного и прочего оборудования",false,False,,107216000,846.0,3636000,957.0,4579000,994.0,17753000,1031.0,4171000,883.0,174445000,920.0,3,Специализированные строительные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448188,284504,Электромонтажные работы,false,False,,93676000,846.0,1093000,957.0,,,8329000,1031.0,2534000,883.0,x,920.0,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",Г.АСТАНА,РАЙОН АЛМАТЫ,0
18951434,284499,"Электромонтажные работы по прокладке телекоммуникационных, компьютерных и телевизионных сетей",true,False,,x,846.0,,,,,,,x,883.0,x,920.0,5,Электромонтажные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18951435,284495,Прочие электромонтажные работы,true,False,,93425000,846.0,1093000,957.0,,,8329000,1031.0,x,883.0,,,5,Электромонтажные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448190,1364816,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",false,False,,11519000,846.0,,,x,994.0,9424000,1031.0,,,x,920.0,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",Г.АСТАНА,РАЙОН АЛМАТЫ,0
448191,1329139,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",true,False,,11519000,846.0,,,x,994.0,9424000,1031.0,,,x,920.0,5,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",Г.АСТАНА,РАЙОН АЛМАТЫ,0
448192,1354348,Прочие строительно-монтажные работы,false,False,,2021000,846.0,2543000,957.0,1511000,994.0,,,x,883.0,156812000,920.0,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",Г.АСТАНА,РАЙОН АЛМАТЫ,0
448194,1364781,"Прочие строительно-монтажные работы, не включенные в другие группировки",true,False,,1966000,846.0,2543000,957.0,1481000,994.0,,,,,156778000,920.0,5,Прочие строительно-монтажные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448195,1299342,Пуск и наладка смонтированного оборудования,true,False,,x,846.0,,,x,994.0,,,x,883.0,x,920.0,5,Прочие строительно-монтажные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448196,2856213,Отделочные работы,false,False,,,,x,957.0,9374000,994.0,,,13041000,883.0,,,3,Специализированные строительные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448201,5097516,Покрытие полов и облицовка стен,false,False,,,,x,957.0,,,,,,,,,4,Отделочные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448202,5097161,Покрытие полов и облицовка стен,true,False,,,,x,957.0,,,,,,,,,5,Покрытие полов и облицовка стен,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448205,2856210,Прочие отделочные работы,false,False,,,,,,9374000,994.0,,,13041000,883.0,,,4,Отделочные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448206,2856207,Прочие отделочные работы,true,False,,,,,,9374000,994.0,,,13041000,883.0,,,5,Прочие отделочные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448207,210717,Прочие специализированные строительные работы,false,False,,438439000,846.0,111166000,957.0,75604000,994.0,462650000,1031.0,61121000,883.0,25895000,920.0,3,Специализированные строительные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448210,210715,"Прочие специализированные строительные работы, не включенные в другие группировки",false,False,,438439000,846.0,111166000,957.0,75604000,994.0,462650000,1031.0,61121000,883.0,25895000,920.0,4,Прочие специализированные строительные работы,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448213,210713,Аренда строительного оборудования с оператором,true,False,,438059000,846.0,104263000,957.0,,,x,1031.0,24719000,883.0,25877000,920.0,5,"Прочие специализированные строительные работы, не включенные в другие группировки",Г.АСТАНА,РАЙОН АЛМАТЫ,0
448214,1328422,"Прочие строительные работы, требующие специальной квалификации",true,False,,380000,846.0,x,957.0,75604000,994.0,1274000,1031.0,36402000,883.0,x,920.0,5,"Прочие специализированные строительные работы, не включенные в другие группировки",Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710963,29222,Строительство зданий,false,False,,332434000,846.0,240082000,957.0,406863000,994.0,98062000,1031.0,376776000,883.0,928657000,920.0,2,Строительство,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710964,284563,Разработка строительных проектов,false,False,,x,846.0,51317000,957.0,19993000,994.0,x,1031.0,,,x,920.0,3,Строительство зданий,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710965,284561,Разработка строительных проектов,false,False,,x,846.0,51317000,957.0,19993000,994.0,x,1031.0,,,x,920.0,4,Разработка строительных проектов,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710966,284559,Разработка строительных проектов,true,False,,x,846.0,51317000,957.0,19993000,994.0,x,1031.0,,,x,920.0,5,Разработка строительных проектов,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710967,117651,Строительство жилых и нежилых зданий,false,False,,332093000,846.0,188765000,957.0,386870000,994.0,94752000,1031.0,376776000,883.0,913060000,920.0,3,Строительство зданий,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710968,117649,Строительство жилых и нежилых зданий,false,False,,332093000,846.0,188765000,957.0,386870000,994.0,94752000,1031.0,376776000,883.0,913060000,920.0,4,Строительство жилых и нежилых зданий,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18710969,284557,Строительство жилых зданий,true,False,,12809000,846.0,65574000,957.0,236243000,994.0,92745000,1031.0,346907000,883.0,834272000,920.0,5,Строительство жилых и нежилых зданий,Г.АСТАНА,РАЙОН АЛМАТЫ,0
18801543,117647,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,False,,319284000,846.0,123191000,957.0,150627000,994.0,2007000,1031.0,29869000,883.0,78788000,920.0,5,Строительство жилых и нежилых зданий,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448215,117645,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,false,False,,7874768000,846.0,7059259000,957.0,6456524000,994.0,6657340000,1031.0,3868868000,883.0,4171452000,920.0,1,Всего,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448216,29220,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,false,False,,286175000,846.0,2947413000,957.0,4290461000,994.0,5136367000,1031.0,747155000,883.0,385547000,920.0,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448217,117639,Торговля автомобилями,false,False,,161595000,846.0,2612695000,957.0,1728107000,994.0,4526298000,1031.0,130126000,883.0,171248000,920.0,3,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,Г.АСТАНА,РАЙОН АЛМАТЫ,0
448218,117636,Торговля автомобилями и легкими автотранспортными средствами,false,False,,161595000,846.0,2612695000,957.0,1728107000,994.0,4526298000,1031.0,130126000,883.0,171248000,920.0,4,Торговля автомобилями,Г.АСТАНА,РАЙОН АЛМАТЫ,0
