id,rownum,text,leaf,expanded,measureName,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,y122019,122019,depth,parent_text,oblast,region,flatDic
741885,20745,Всего,false,false,,99295466000,957.0,190805283000,994.0,269560720000,1031.0,52316566000,883.0,94372955000,920.0,37543704000,846.0,0,,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,
447173,209342,"Сельское, лесное и рыбное хозяйство",false,False,,549796000,957.0,85346000,994.0,101915000,1031.0,2466574000,883.0,2937654000,920.0,190277000,846.0,1,Всего,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447174,209338,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,549796000,957.0,85346000,994.0,101915000,1031.0,2466574000,883.0,2937654000,920.0,190277000,846.0,2,"Сельское, лесное и рыбное хозяйство",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447175,283133,Выращивание одно- или двухлетних культур,false,False,,482612000,957.0,,,65768000,1031.0,2409937000,883.0,1813650000,920.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447176,2854737,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,410000000,957.0,,,,,9937000,883.0,13650000,920.0,,,4,Выращивание одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
3783380,2854735,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,410000000,957.0,,,,,9937000,883.0,13650000,920.0,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447181,283130,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,,,,,,,2400000000,883.0,1800000000,920.0,,,4,Выращивание одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447183,283128,"Выращивание овощей, их семян и рассады",true,False,,,,,,,,2400000000,883.0,1800000000,920.0,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447192,4725150,Выращивание прочих одно- или двухлетних культур,false,False,,x,957.0,,,65768000,1031.0,,,,,,,4,Выращивание одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447193,4724586,Выращивание кормовых культур и их семян,true,False,,x,957.0,,,x,1031.0,,,,,,,5,Выращивание прочих одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447195,5870755,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",true,False,,,,,,5500000,1031.0,,,,,,,5,Выращивание прочих одно- или двухлетних культур,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447218,209336,Животноводство,false,False,,56834000,957.0,85346000,994.0,35647000,1031.0,56637000,883.0,266572000,920.0,190277000,846.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447221,4467543,Разведение прочего крупного рогатого скота и буйволов,false,False,,,,,,,,,,x,920.0,,,4,Животноводство,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447222,4471014,Разведение прочего крупного рогатого скота и буйволов,true,False,,,,,,,,,,x,920.0,,,5,Разведение прочего крупного рогатого скота и буйволов,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
447223,4753776,Разведение лошадей и прочих животных семейства лошадиных,false,False,,13270000,957.0,14000000,994.0,,,,,,,,,4,Животноводство,Г.ШЫМКЕНТ,АБАЙСКИЙ РАЙОН,0
