id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,21631,Всего,false,false,,115876394000,883.0,111869122000,920.0,93158137000,846.0,185888880000,1031.0,146963767000,994.0,104365861000,957.0,0,,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,
447173,183146,"Сельское, лесное и рыбное хозяйство",false,False,,815963000,883.0,1209178000,920.0,5701473000,846.0,1783205000,1031.0,1287167000,994.0,2107699000,957.0,1,Всего,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447174,324613,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,626566000,883.0,1209178000,920.0,5700348000,846.0,1312926000,1031.0,1020918000,994.0,2107699000,957.0,2,"Сельское, лесное и рыбное хозяйство",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447175,324611,Выращивание одно- или двухлетних культур,false,False,,196096000,883.0,704460000,920.0,5261486000,846.0,1079602000,1031.0,773007000,994.0,576953000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447176,324609,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,196096000,883.0,694475000,920.0,76917000,846.0,634612000,1031.0,708105000,994.0,437644000,957.0,4,Выращивание одно- или двухлетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
3783380,324607,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,196096000,883.0,694475000,920.0,76917000,846.0,634612000,1031.0,708105000,994.0,437644000,957.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447181,1344385,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,,,x,920.0,5184569000,846.0,444990000,1031.0,64902000,994.0,139309000,957.0,4,Выращивание одно- или двухлетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447182,4469017,Выращивание картофеля и посадочного материала,true,False,,,,x,920.0,,,444990000,1031.0,64902000,994.0,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447183,1380301,"Выращивание овощей, их семян и рассады",true,False,,,,,,5184569000,846.0,,,,,139309000,957.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447196,2830731,Выращивание многолетних культур,false,False,,x,883.0,4890000,920.0,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447213,2830729,Выращивание прочих многолетних культур,false,False,,x,883.0,4890000,920.0,,,,,,,,,4,Выращивание многолетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
447214,2830727,Выращивание прочих многолетних культур,true,False,,x,883.0,4890000,920.0,,,,,,,,,5,Выращивание прочих многолетних культур,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.,0
