id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,30128,Всего,false,false,,112004107000,883.0,144041033000,920.0,82258456000,846.0,262050546000,1031.0,184049401000,994.0,140767290000,957.0,0,,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,
447173,30089,"Сельское, лесное и рыбное хозяйство",false,False,,602579000,883.0,1028109000,920.0,512738000,846.0,687472000,1031.0,737925000,994.0,1244517000,957.0,1,Всего,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447174,100520,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,601683000,883.0,1023619000,920.0,512738000,846.0,686330000,1031.0,737925000,994.0,1244517000,957.0,2,"Сельское, лесное и рыбное хозяйство",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447175,100518,Выращивание одно- или двухлетних культур,false,False,,592902000,883.0,987619000,920.0,466880000,846.0,473630000,1031.0,549176000,994.0,493905000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447176,100515,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,592902000,883.0,987619000,920.0,446600000,846.0,473630000,1031.0,462759000,994.0,493905000,957.0,4,Выращивание одно- или двухлетних культур,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
3783380,100512,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,592902000,883.0,987619000,920.0,446600000,846.0,473630000,1031.0,462759000,994.0,493905000,957.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447181,1348365,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,,,,,20280000,846.0,,,86417000,994.0,,,4,Выращивание одно- или двухлетних культур,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447182,1368433,Выращивание картофеля и посадочного материала,true,False,,,,,,20280000,846.0,,,86417000,994.0,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447218,1359459,Животноводство,false,False,,x,883.0,x,920.0,42114000,846.0,,,105428000,994.0,x,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
447219,1357484,Разведение крупного рогатого скота молочного направления,false,False,,,,,,x,846.0,,,x,994.0,,,4,Животноводство,КОСТАНАЙСКАЯ ОБЛАСТЬ,КОСТАНАЙ Г.А.,0
