id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,20265,Всего,false,false,,229985229000,883.0,243101265000,920.0,146713000000,846.0,271978320000,1031.0,189451800000,994.0,215292617000,957.0,0,,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,
447173,358474,"Сельское, лесное и рыбное хозяйство",false,False,,,,600000,920.0,50469000,846.0,3880000,1031.0,,,,,1,Всего,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447174,374896,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,,,600000,920.0,50000000,846.0,3880000,1031.0,,,,,2,"Сельское, лесное и рыбное хозяйство",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447175,391229,Выращивание одно- или двухлетних культур,false,False,,,,,,50000000,846.0,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447192,456137,Выращивание прочих одно- или двухлетних культур,false,False,,,,,,50000000,846.0,,,,,,,4,Выращивание одно- или двухлетних культур,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447194,427483,"Выращивание цветов, семеноводство цветочных культур",true,False,,,,,,50000000,846.0,,,,,,,5,Выращивание прочих одно- или двухлетних культур,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447218,5972034,Животноводство,false,False,,,,,,,,3880000,1031.0,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447221,6009779,Разведение прочего крупного рогатого скота и буйволов,false,False,,,,,,,,3880000,1031.0,,,,,4,Животноводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447222,6006677,Разведение прочего крупного рогатого скота и буйволов,true,False,,,,,,,,3880000,1031.0,,,,,5,Разведение прочего крупного рогатого скота и буйволов,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447239,4107551,Смешанное сельское хозяйство,false,False,,,,600000,920.0,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447240,4102059,Смешанное сельское хозяйство,false,False,,,,600000,920.0,,,,,,,,,4,Смешанное сельское хозяйство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447241,4103563,Смешанное сельское хозяйство,true,False,,,,600000,920.0,,,,,,,,,5,Смешанное сельское хозяйство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447268,659898,Рыболовство и рыбоводство,false,False,,,,,,x,846.0,,,,,,,2,"Сельское, лесное и рыбное хозяйство",МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447274,1292197,Рыбоводство,false,False,,,,,,x,846.0,,,,,,,3,Рыболовство и рыбоводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447275,1341069,Морское рыбоводство,false,False,,,,,,x,846.0,,,,,,,4,Рыбоводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
447276,1296810,Морское рыбоводство,true,False,,,,,,x,846.0,,,,,,,5,Морское рыбоводство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
448148,20033,Строительство,false,False,,6095099000,883.0,16183142000,920.0,5754834000,846.0,1534780000,1031.0,2929947000,994.0,6286358000,957.0,1,Всего,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
448157,187449,Гражданское строительство,false,False,,1886818000,883.0,1357776000,920.0,3567503000,846.0,26244000,1031.0,219258000,994.0,912092000,957.0,2,Строительство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
448158,1305163,Строительство автомобильных и железных дорог,false,False,,17649000,883.0,150667000,920.0,2722000,846.0,x,1031.0,x,994.0,x,957.0,3,Гражданское строительство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
18696143,1290249,Строительство автомобильных дорог,false,False,,17649000,883.0,150667000,920.0,2722000,846.0,x,1031.0,x,994.0,x,957.0,4,Строительство автомобильных и железных дорог,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
18946136,1280693,Строительство дорог и автомагистралей,true,False,,17649000,883.0,150667000,920.0,2722000,846.0,x,1031.0,x,994.0,x,957.0,5,Строительство автомобильных дорог,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
448165,187446,Строительство распределительных инженерных сооружений,false,False,,336766000,883.0,1159631000,920.0,3557501000,846.0,,,x,994.0,x,957.0,3,Гражданское строительство,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
448166,187444,Строительство трубопроводов,false,False,,336766000,883.0,1159631000,920.0,3556765000,846.0,,,x,994.0,x,957.0,4,Строительство распределительных инженерных сооружений,МАНГИСТАУСКАЯ ОБЛАСТЬ,АКТАУ Г.А.,0
