id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,32122,Всего,false,false,,37206004000,883.0,45344919000,920.0,31335005000,846.0,108778138000,1031.0,83887954000,994.0,48098487000,957.0,0,,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,
447173,258166,"Сельское, лесное и рыбное хозяйство",false,False,,247591000,883.0,131758000,920.0,340297000,846.0,66379000,1031.0,103630000,994.0,,,1,Всего,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447174,258164,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,247591000,883.0,131758000,920.0,340297000,846.0,66379000,1031.0,103630000,994.0,,,2,"Сельское, лесное и рыбное хозяйство",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447175,1372941,Выращивание одно- или двухлетних культур,false,False,,,,,,21368000,846.0,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447176,1394444,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,,,,,21368000,846.0,,,,,,,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
3783380,1284392,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,,,,,21368000,846.0,,,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447218,258161,Животноводство,false,False,,233087000,883.0,131758000,920.0,318929000,846.0,66379000,1031.0,103630000,994.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447219,1361948,Разведение крупного рогатого скота молочного направления,false,False,,32419000,883.0,31334000,920.0,730000,846.0,,,900000,994.0,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447220,1386008,Разведение крупного рогатого скота молочного направления,true,False,,32419000,883.0,31334000,920.0,730000,846.0,,,900000,994.0,,,5,Разведение крупного рогатого скота молочного направления,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447221,258158,Разведение прочего крупного рогатого скота и буйволов,false,False,,44348000,883.0,,,249610000,846.0,,,96070000,994.0,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447222,258156,Разведение прочего крупного рогатого скота и буйволов,true,False,,44348000,883.0,,,249610000,846.0,,,96070000,994.0,,,5,Разведение прочего крупного рогатого скота и буйволов,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447223,258154,Разведение лошадей и прочих животных семейства лошадиных,false,False,,15430000,883.0,2100000,920.0,,,,,,,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447224,258152,Разведение лошадей,true,False,,15430000,883.0,2100000,920.0,,,,,,,,,5,Разведение лошадей и прочих животных семейства лошадиных,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447228,258150,Разведение овец и коз,false,False,,51729000,883.0,,,,,,,6660000,994.0,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447229,258148,Разведение овец и коз,true,False,,51729000,883.0,,,,,,,6660000,994.0,,,5,Разведение овец и коз,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
447232,1281554,Разведение сельскохозяйственной птицы ,false,False,,82961000,883.0,98324000,920.0,68589000,846.0,66379000,1031.0,,,,,4,Животноводство,ОБЛАСТЬ ҰЛЫТАУ,ЖЕЗКАЗГАН Г.А.,0
