id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,30150,Всего,false,false,,7487238000,883.0,5056947000,920.0,6643436000,846.0,21037139000,1031.0,10114886000,994.0,9018864000,957.0,0,,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,
447173,314178,"Сельское, лесное и рыбное хозяйство",false,False,,349305000,883.0,695393000,920.0,176510000,846.0,1981879000,1031.0,600386000,994.0,455206000,957.0,1,Всего,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447174,314138,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,349305000,883.0,695393000,920.0,176510000,846.0,1981879000,1031.0,600386000,994.0,455206000,957.0,2,"Сельское, лесное и рыбное хозяйство",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447175,1284192,Выращивание одно- или двухлетних культур,false,False,,227053000,883.0,279551000,920.0,65928000,846.0,205729000,1031.0,223842000,994.0,339180000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447176,4616500,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,,,,,,,158990000,1031.0,176267000,994.0,x,957.0,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
3783380,4618665,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,,,,,,,158990000,1031.0,176267000,994.0,x,957.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447192,1412430,Выращивание прочих одно- или двухлетних культур,false,False,,227053000,883.0,279551000,920.0,65928000,846.0,46739000,1031.0,47575000,994.0,282350000,957.0,4,Выращивание одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447193,1382153,Выращивание кормовых культур и их семян,true,False,,202673000,883.0,258321000,920.0,60254000,846.0,15914000,1031.0,23525000,994.0,259720000,957.0,5,Выращивание прочих одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447195,1363351,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки",true,False,,24380000,883.0,21230000,920.0,5674000,846.0,30825000,1031.0,24050000,994.0,22630000,957.0,5,Выращивание прочих одно- или двухлетних культур,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447196,1348385,Выращивание многолетних культур,false,False,,,,,,x,846.0,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447205,1310469,"Выращивание прочих плодов, ягод и орехов",false,False,,,,,,x,846.0,,,,,,,4,Выращивание многолетних культур,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447206,1353460,"Выращивание прочих плодов, ягод и орехов",true,False,,,,,,x,846.0,,,,,,,5,"Выращивание прочих плодов, ягод и орехов",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447218,4755775,Животноводство,false,False,,,,,,,,39520000,1031.0,9900000,994.0,x,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447219,5221528,Разведение крупного рогатого скота молочного направления,false,False,,,,,,,,9730000,1031.0,x,994.0,,,4,Животноводство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447220,5221484,Разведение крупного рогатого скота молочного направления,true,False,,,,,,,,9730000,1031.0,x,994.0,,,5,Разведение крупного рогатого скота молочного направления,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447221,6010045,Разведение прочего крупного рогатого скота и буйволов,false,False,,,,,,,,10330000,1031.0,,,,,4,Животноводство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447222,6010043,Разведение прочего крупного рогатого скота и буйволов,true,False,,,,,,,,10330000,1031.0,,,,,5,Разведение прочего крупного рогатого скота и буйволов,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447223,4755158,Разведение лошадей и прочих животных семейства лошадиных,false,False,,,,,,,,,,,,x,957.0,4,Животноводство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447224,4755285,Разведение лошадей,true,False,,,,,,,,,,,,x,957.0,5,Разведение лошадей и прочих животных семейства лошадиных,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447228,5328197,Разведение овец и коз,false,False,,,,,,,,,,9400000,994.0,,,4,Животноводство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447229,5331980,Разведение овец и коз,true,False,,,,,,,,,,9400000,994.0,,,5,Разведение овец и коз,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447237,5872608,Разведение прочих видов животных,false,False,,,,,,,,19460000,1031.0,,,,,4,Животноводство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447238,5869795,Разведение прочих видов животных,true,False,,,,,,,,19460000,1031.0,,,,,5,Разведение прочих видов животных,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447239,314136,Смешанное сельское хозяйство,false,False,,122252000,883.0,415842000,920.0,,,1736630000,1031.0,366044000,994.0,115426000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447240,314134,Смешанное сельское хозяйство,false,False,,122252000,883.0,415842000,920.0,,,1736630000,1031.0,366044000,994.0,115426000,957.0,4,Смешанное сельское хозяйство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
447241,314132,Смешанное сельское хозяйство,true,False,,122252000,883.0,415842000,920.0,,,1736630000,1031.0,366044000,994.0,115426000,957.0,5,Смешанное сельское хозяйство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
18683346,5189548,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,,,,,,,,,600000,994.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
18683350,5220456,"Деятельность, способствующая животноводству",false,False,,,,,,,,,,600000,994.0,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
18683351,5220352,"Деятельность, способствующая животноводству",true,False,,,,,,,,,,600000,994.0,,,5,"Деятельность, способствующая животноводству",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448148,626940,Строительство,false,False,,,,,,1627325000,846.0,1447000,1031.0,274783000,994.0,,,1,Всего,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448157,689514,Гражданское строительство,false,False,,,,,,11143000,846.0,,,,,,,2,Строительство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448158,1387342,Строительство автомобильных и железных дорог,false,False,,,,,,11143000,846.0,,,,,,,3,Гражданское строительство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
18696143,1302359,Строительство автомобильных дорог,false,False,,,,,,11143000,846.0,,,,,,,4,Строительство автомобильных и железных дорог,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
18946136,1294981,Строительство дорог и автомагистралей,true,False,,,,,,11143000,846.0,,,,,,,5,Строительство автомобильных дорог,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448177,625789,Специализированные строительные работы,false,False,,,,,,x,846.0,,,,,,,2,Строительство,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448207,1390657,Прочие специализированные строительные работы,false,False,,,,,,x,846.0,,,,,,,3,Специализированные строительные работы,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448210,1341853,"Прочие специализированные строительные работы, не включенные в другие группировки",false,False,,,,,,x,846.0,,,,,,,4,Прочие специализированные строительные работы,ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
448214,1320907,"Прочие строительные работы, требующие специальной квалификации",true,False,,,,,,x,846.0,,,,,,,5,"Прочие специализированные строительные работы, не включенные в другие группировки",ОБЛАСТЬ ЖЕТІСУ,КОКСУСКИЙ РАЙОН,0
