id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,35648,Всего,false,false,,2445658000,883.0,3743185000,920.0,3307171000,846.0,5596699000,1031.0,2355496000,994.0,4691915000,957.0,0,,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,
447173,4725564,"Сельское, лесное и рыбное хозяйство",false,False,,,,,,,,,,,,x,957.0,1,Всего,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
447268,4725423,Рыболовство и рыбоводство,false,False,,,,,,,,,,,,x,957.0,2,"Сельское, лесное и рыбное хозяйство",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
447269,4724582,Рыболовство,false,False,,,,,,,,,,,,x,957.0,3,Рыболовство и рыбоводство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
447272,4724632,Пресноводное рыболовство,false,False,,,,,,,,,,,,x,957.0,4,Рыболовство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
447273,4725004,Пресноводное рыболовство,true,False,,,,,,,,,,,,x,957.0,5,Пресноводное рыболовство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448148,2807706,Строительство,false,False,,x,883.0,,,,,1550000,1031.0,,,456000000,957.0,1,Всего,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448157,3877411,Гражданское строительство,false,False,,,,,,,,,,,,250000000,957.0,2,Строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448165,3886006,Строительство распределительных инженерных сооружений,false,False,,,,,,,,,,,,250000000,957.0,3,Гражданское строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448166,3878025,Строительство трубопроводов,false,False,,,,,,,,,,,,250000000,957.0,4,Строительство распределительных инженерных сооружений,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448168,4912923,Строительство трубопроводов для систем водоснабжения и канализации,true,False,,,,,,,,,,,,250000000,957.0,5,Строительство трубопроводов,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448177,2807703,Специализированные строительные работы,false,False,,x,883.0,,,,,,,,,x,957.0,2,Строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448187,2807700,"Монтаж и установка электрического, водопроводного и прочего оборудования",false,False,,x,883.0,,,,,,,,,,,3,Специализированные строительные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448188,2807698,Электромонтажные работы,false,False,,x,883.0,,,,,,,,,,,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
18951435,2807696,Прочие электромонтажные работы,true,False,,x,883.0,,,,,,,,,,,5,Электромонтажные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448196,4911538,Отделочные работы,false,False,,,,,,,,,,,,x,957.0,3,Специализированные строительные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448205,4914614,Прочие отделочные работы,false,False,,,,,,,,,,,,x,957.0,4,Отделочные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448206,4906887,Прочие отделочные работы,true,False,,,,,,,,,,,,x,957.0,5,Прочие отделочные работы,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
18710963,5194078,Строительство зданий,false,False,,,,,,,,1550000,1031.0,,,,,2,Строительство,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
18710967,5190444,Строительство жилых и нежилых зданий,false,False,,,,,,,,1550000,1031.0,,,,,3,Строительство зданий,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
18710968,5219743,Строительство жилых и нежилых зданий,false,False,,,,,,,,1550000,1031.0,,,,,4,Строительство жилых и нежилых зданий,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
18801543,5872516,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,False,,,,,,,,1550000,1031.0,,,,,5,Строительство жилых и нежилых зданий,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448215,651740,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,false,False,,,,214714000,920.0,x,846.0,548506000,1031.0,,,417261000,957.0,1,Всего,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448237,2840805,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",false,False,,,,x,920.0,,,548506000,1031.0,,,,,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448371,2840804,Неспециализированная оптовая торговля,false,False,,,,x,920.0,,,548506000,1031.0,,,,,3,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448372,2840803,Неспециализированная оптовая торговля,false,False,,,,x,920.0,,,548506000,1031.0,,,,,4,Неспециализированная оптовая торговля,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448376,2840802,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,true,False,,,,x,920.0,,,548506000,1031.0,,,,,5,Неспециализированная оптовая торговля,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448377,641550,"Розничная торговля, кроме торговли автомобилями и мотоциклами",false,False,,,,109922000,920.0,x,846.0,,,,,417261000,957.0,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448383,3339744,"Розничная торговля продуктами питания, напитками и табачными изделиями в специализированных магазинах",false,False,,,,9430000,920.0,,,,,,,,,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448397,3349720,Прочая розничная торговля продуктами питания в специализированных магазинах,false,False,,,,9430000,920.0,,,,,,,,,4,"Розничная торговля продуктами питания, напитками и табачными изделиями в специализированных магазинах",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
3647950,3347984,"Прочая розничная торговля продуктами питания в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",true,False,,,,9430000,920.0,,,,,,,,,5,Прочая розничная торговля продуктами питания в специализированных магазинах,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448399,4021138,Розничная торговля топливом в специализированных магазинах,false,False,,,,50492000,920.0,,,,,,,200000000,957.0,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
448400,4022324,Розничная торговля топливом в специализированных магазинах,false,False,,,,50492000,920.0,,,,,,,200000000,957.0,4,Розничная торговля топливом в специализированных магазинах,ОБЛАСТЬ АБАЙ,КУРЧАТОВ Г.А.,0
