id,rownum,text,leaf,expanded,measureName,y122019,122019,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,depth,parent_text,oblast,region,flatDic
741885,25852,Всего,false,false,,161716069000,846.0,243880226000,957.0,222677468000,994.0,270849746000,1031.0,137211618000,883.0,192252049000,920.0,0,,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,
447173,25824,"Сельское, лесное и рыбное хозяйство",false,False,,2125592000,846.0,505281000,957.0,1980679000,994.0,985315000,1031.0,3754659000,883.0,10092153000,920.0,1,Всего,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447174,114244,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,2065192000,846.0,480387000,957.0,1774823000,994.0,375339000,1031.0,3751761000,883.0,10092153000,920.0,2,"Сельское, лесное и рыбное хозяйство",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447175,1281319,Выращивание одно- или двухлетних культур,false,False,,1399753000,846.0,319591000,957.0,583414000,994.0,126807000,1031.0,1251313000,883.0,52369000,920.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447176,3531599,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,,,x,957.0,360824000,994.0,39093000,1031.0,x,883.0,,,4,Выращивание одно- или двухлетних культур,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447178,3527898,Выращивание масличных культур и их семян,true,False,,,,,,,,,,x,883.0,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
3783380,4817041,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,,,x,957.0,360824000,994.0,39093000,1031.0,,,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447181,1366129,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,1399753000,846.0,27033000,957.0,222590000,994.0,87714000,1031.0,835964000,883.0,52369000,920.0,4,Выращивание одно- или двухлетних культур,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447182,2918009,Выращивание картофеля и посадочного материала,true,False,,,,27033000,957.0,222590000,994.0,87714000,1031.0,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447183,1303349,"Выращивание овощей, их семян и рассады",true,False,,1399753000,846.0,,,,,,,573659000,883.0,52369000,920.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447184,2745751,Выращивание сахарной свеклы и ее семян,true,False,,,,,,,,,,x,883.0,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447218,25819,Животноводство,false,False,,615439000,846.0,160796000,957.0,1171859000,994.0,238802000,1031.0,2500448000,883.0,10039784000,920.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447219,1321249,Разведение крупного рогатого скота молочного направления,false,False,,50000000,846.0,,,,,13550000,1031.0,510000000,883.0,9933571000,920.0,4,Животноводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447220,1402319,Разведение крупного рогатого скота молочного направления,true,False,,50000000,846.0,,,,,13550000,1031.0,510000000,883.0,9933571000,920.0,5,Разведение крупного рогатого скота молочного направления,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447221,1322027,Разведение прочего крупного рогатого скота и буйволов,false,False,,x,846.0,,,1360000,994.0,,,1410000000,883.0,,,4,Животноводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447222,1402060,Разведение прочего крупного рогатого скота и буйволов,true,False,,x,846.0,,,1360000,994.0,,,1410000000,883.0,,,5,Разведение прочего крупного рогатого скота и буйволов,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447230,114242,Разведение свиней,false,False,,,,x,957.0,1156366000,994.0,189091000,1031.0,,,x,920.0,4,Животноводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447231,114240,Разведение свиней,true,False,,,,x,957.0,1156366000,994.0,189091000,1031.0,,,x,920.0,5,Разведение свиней,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447232,1347492,Разведение сельскохозяйственной птицы ,false,False,,563612000,846.0,3720000,957.0,14133000,994.0,36161000,1031.0,580448000,883.0,20852000,920.0,4,Животноводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447234,1359741,Производство яиц,true,False,,563612000,846.0,3720000,957.0,14133000,994.0,36161000,1031.0,580448000,883.0,20852000,920.0,5,Разведение сельскохозяйственной птицы ,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447239,1365442,Смешанное сельское хозяйство,false,False,,x,846.0,,,19550000,994.0,9730000,1031.0,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447240,1342177,Смешанное сельское хозяйство,false,False,,x,846.0,,,19550000,994.0,9730000,1031.0,,,,,4,Смешанное сельское хозяйство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447241,1364556,Смешанное сельское хозяйство,true,False,,x,846.0,,,19550000,994.0,9730000,1031.0,,,,,5,Смешанное сельское хозяйство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447255,2792435,Лесоводство и лесозаготовки,false,False,,,,2894000,957.0,197368000,994.0,452667000,1031.0,2898000,883.0,,,2,"Сельское, лесное и рыбное хозяйство",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447256,2792448,Лесоводство и прочая лесохозяйственная деятельность,false,False,,,,2894000,957.0,197368000,994.0,237000000,1031.0,2898000,883.0,,,3,Лесоводство и лесозаготовки,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447257,2792446,Лесоводство и прочая лесохозяйственная деятельность,false,False,,,,2894000,957.0,197368000,994.0,237000000,1031.0,2898000,883.0,,,4,Лесоводство и прочая лесохозяйственная деятельность,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447258,2792444,Лесоводство и прочая лесохозяйственная деятельность,true,False,,,,2894000,957.0,197368000,994.0,237000000,1031.0,2898000,883.0,,,5,Лесоводство и прочая лесохозяйственная деятельность,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447259,5970556,Лесозаготовки,false,False,,,,,,,,215667000,1031.0,,,,,3,Лесоводство и лесозаготовки,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447260,6003626,Лесозаготовки,false,False,,,,,,,,215667000,1031.0,,,,,4,Лесозаготовки,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447261,6005429,Лесозаготовки,true,False,,,,,,,,215667000,1031.0,,,,,5,Лесозаготовки,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447268,613997,Рыболовство и рыбоводство,false,False,,60400000,846.0,22000000,957.0,8488000,994.0,157309000,1031.0,,,,,2,"Сельское, лесное и рыбное хозяйство",ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447269,1397777,Рыболовство,false,False,,x,846.0,22000000,957.0,8488000,994.0,157309000,1031.0,,,,,3,Рыболовство и рыбоводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447272,1374401,Пресноводное рыболовство,false,False,,x,846.0,22000000,957.0,8488000,994.0,157309000,1031.0,,,,,4,Рыболовство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447273,1348903,Пресноводное рыболовство,true,False,,x,846.0,22000000,957.0,8488000,994.0,157309000,1031.0,,,,,5,Пресноводное рыболовство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447274,1295240,Рыбоводство,false,False,,x,846.0,,,,,,,,,,,3,Рыболовство и рыбоводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447277,1406669,Пресноводное рыбоводство,false,False,,x,846.0,,,,,,,,,,,4,Рыбоводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
447278,1378561,Пресноводное рыбоводство,true,False,,x,846.0,,,,,,,,,,,5,Пресноводное рыбоводство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
448148,25967,Строительство,false,False,,1478784000,846.0,44279528000,957.0,3616254000,994.0,1988899000,1031.0,1550520000,883.0,1309688000,920.0,1,Всего,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
448157,25962,Гражданское строительство,false,False,,1094034000,846.0,1509426000,957.0,3011253000,994.0,1709651000,1031.0,708945000,883.0,397256000,920.0,2,Строительство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
448158,201019,Строительство автомобильных и железных дорог,false,False,,477738000,846.0,1402413000,957.0,1296045000,994.0,663072000,1031.0,605135000,883.0,236241000,920.0,3,Гражданское строительство,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
448161,1296301,Строительство железных дорог и метро,false,False,,x,846.0,,,,,,,,,,,4,Строительство автомобильных и железных дорог,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
448162,1358839,Строительство железных дорог и метро,true,False,,x,846.0,,,,,,,,,,,5,Строительство железных дорог и метро,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
18696143,201016,Строительство автомобильных дорог,false,False,,476929000,846.0,1402413000,957.0,1296045000,994.0,663072000,1031.0,605135000,883.0,236241000,920.0,4,Строительство автомобильных и железных дорог,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
18946136,201013,Строительство дорог и автомагистралей,true,False,,476929000,846.0,1402413000,957.0,1296045000,994.0,653337000,1031.0,605135000,883.0,236241000,920.0,5,Строительство автомобильных дорог,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
18946137,5868328,"Деятельность по организации строительства, реконструкции, ремонта, платного движения и содержания автомобильных дорог (участков) общего пользования международного и республиканского значения",true,False,,,,,,,,9735000,1031.0,,,,,5,Строительство автомобильных дорог,ПАВЛОДАРСКАЯ ОБЛАСТЬ,ПАВЛОДАР Г.А.,0
