id,rownum,text,leaf,expanded,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region,flatDic
741885,23570,Всего,false,false,,103892571000,883.0,126972533000,920.0,76467466000,846.0,266416631000,1031.0,198365069000,994.0,140323026000,957.0,0,,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,
447173,303654,"Сельское, лесное и рыбное хозяйство",false,False,,,,42117000,920.0,62742000,846.0,1052867000,1031.0,3779010000,994.0,1614086000,957.0,1,Всего,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447174,303651,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,,,42117000,920.0,62742000,846.0,1028836000,1031.0,3728372000,994.0,1608512000,957.0,2,"Сельское, лесное и рыбное хозяйство",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447175,303648,Выращивание одно- или двухлетних культур,false,False,,,,x,920.0,25893000,846.0,906540000,1031.0,3501424000,994.0,1596268000,957.0,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447176,303646,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,,,x,920.0,25893000,846.0,67338000,1031.0,28765000,994.0,55531000,957.0,4,Выращивание одно- или двухлетних культур,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
3783380,303644,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,,,x,920.0,25893000,846.0,67338000,1031.0,28765000,994.0,55531000,957.0,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447181,4426808,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,,,,,,,839202000,1031.0,3472659000,994.0,1540737000,957.0,4,Выращивание одно- или двухлетних культур,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447183,4423455,"Выращивание овощей, их семян и рассады",true,False,,,,,,,,839202000,1031.0,3472659000,994.0,1540737000,957.0,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447218,2855019,Животноводство,false,False,,,,,,,,38900000,1031.0,205262000,994.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447232,5363243,Разведение сельскохозяйственной птицы ,false,False,,,,,,,,38900000,1031.0,205262000,994.0,,,4,Животноводство,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
447233,5364033,"Разведение птицы на мясо, племенной птицы и молодняка",true,False,,,,,,,,38900000,1031.0,205262000,994.0,,,5,Разведение сельскохозяйственной птицы ,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,ПЕТРОПАВЛОВСК Г.А.,0
