id,rownum,text,leaf,expanded,measureName,y122022,122022,y122023,122023,y122024,122024,y122020,122020,y122021,122021,y122019,122019,depth,parent_text,oblast,region,flatDic
741885,19110,Всего,false,false,,306122538000,957.0,323548683000,994.0,432190005000,1031.0,369215728000,883.0,286031229000,920.0,96294123000,846.0,0,,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,
447173,3343943,"Сельское, лесное и рыбное хозяйство",false,False,,319653000,957.0,,,4645991000,1031.0,,,57830000,920.0,,,1,Всего,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447174,3349308,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",false,False,,319653000,957.0,,,4645991000,1031.0,,,57830000,920.0,,,2,"Сельское, лесное и рыбное хозяйство",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447175,3908877,Выращивание одно- или двухлетних культур,false,False,,250233000,957.0,,,1042479000,1031.0,,,57830000,920.0,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447176,3911518,"Выращивание зерновых (кроме риса), бобовых и масличных культур",false,False,,238693000,957.0,,,,,,,57830000,920.0,,,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
3783380,3908742,"Выращивание зерновых и зернобобовых культур, включая семеноводство",true,False,,238693000,957.0,,,,,,,57830000,920.0,,,5,"Выращивание зерновых (кроме риса), бобовых и масличных культур",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447181,5520952,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",false,False,,,,,,788400000,1031.0,,,,,,,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447183,5516012,"Выращивание овощей, их семян и рассады",true,False,,,,,,788400000,1031.0,,,,,,,5,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447189,5793292,Выращивание прядильных культур,false,False,,,,,,254079000,1031.0,,,,,,,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447190,5783073,Выращивание хлопка-сырца,true,False,,,,,,254079000,1031.0,,,,,,,5,Выращивание прядильных культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447192,4650460,Выращивание прочих одно- или двухлетних культур,false,False,,11540000,957.0,,,,,,,,,,,4,Выращивание одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447193,4651716,Выращивание кормовых культур и их семян,true,False,,11540000,957.0,,,,,,,,,,,5,Выращивание прочих одно- или двухлетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447196,3344399,Выращивание многолетних культур,false,False,,x,957.0,,,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447203,3345445,Выращивание семечковых и косточковых плодов,false,False,,x,957.0,,,,,,,,,,,4,Выращивание многолетних культур,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447204,3361243,Выращивание семечковых и косточковых плодов,true,False,,x,957.0,,,,,,,,,,,5,Выращивание семечковых и косточковых плодов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447218,4754301,Животноводство,false,False,,2960000,957.0,,,,,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447221,4755673,Разведение прочего крупного рогатого скота и буйволов,false,False,,2960000,957.0,,,,,,,,,,,4,Животноводство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
447222,4754263,Разведение прочего крупного рогатого скота и буйволов,true,False,,2960000,957.0,,,,,,,,,,,5,Разведение прочего крупного рогатого скота и буйволов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18683346,5698065,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",false,False,,,,,,3603512000,1031.0,,,,,,,3,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18683347,5695522,"Деятельность, способствующая растениеводству",false,False,,,,,,3603512000,1031.0,,,,,,,4,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18683348,5694686,"Деятельность, способствующая растениеводству, кроме эксплуатации оросительных систем",true,False,,,,,,x,1031.0,,,,,,,5,"Деятельность, способствующая растениеводству",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18683349,5750046,Эксплуатация оросительных систем,true,False,,,,,,x,1031.0,,,,,,,5,"Деятельность, способствующая растениеводству",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448148,19103,Строительство,false,False,,1417271000,957.0,1031377000,994.0,724093000,1031.0,655647000,883.0,626913000,920.0,946075000,846.0,1,Всего,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448157,2772067,Гражданское строительство,false,False,,652967000,957.0,933666000,994.0,664211000,1031.0,191717000,883.0,524416000,920.0,,,2,Строительство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448158,4108320,Строительство автомобильных и железных дорог,false,False,,x,957.0,807455000,994.0,541660000,1031.0,,,x,920.0,,,3,Гражданское строительство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448161,4102245,Строительство железных дорог и метро,false,False,,,,,,,,,,x,920.0,,,4,Строительство автомобильных и железных дорог,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448162,4103250,Строительство железных дорог и метро,true,False,,,,,,,,,,x,920.0,,,5,Строительство железных дорог и метро,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18696143,4724370,Строительство автомобильных дорог,false,False,,x,957.0,807455000,994.0,541660000,1031.0,,,,,,,4,Строительство автомобильных и железных дорог,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18946136,4724769,Строительство дорог и автомагистралей,true,False,,x,957.0,807455000,994.0,541660000,1031.0,,,,,,,5,Строительство автомобильных дорог,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448165,2805472,Строительство распределительных инженерных сооружений,false,False,,x,957.0,,,x,1031.0,x,883.0,134841000,920.0,,,3,Гражданское строительство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448166,2805470,Строительство трубопроводов,false,False,,x,957.0,,,,,x,883.0,134841000,920.0,,,4,Строительство распределительных инженерных сооружений,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448167,3532636,Строительство нефтяных и газовых магистральных трубопроводов,true,False,,x,957.0,,,,,x,883.0,x,920.0,,,5,Строительство трубопроводов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448168,2805468,Строительство трубопроводов для систем водоснабжения и канализации,true,False,,,,,,,,,,x,920.0,,,5,Строительство трубопроводов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448170,5884309,Строительство линий электропередач и телекоммуникаций ,false,False,,,,,,x,1031.0,,,,,,,4,Строительство распределительных инженерных сооружений,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448171,5884077,Строительство линий электропередач и телекоммуникаций ,true,False,,,,,,x,1031.0,,,,,,,5,Строительство линий электропередач и телекоммуникаций ,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18696516,2772065,Строительство прочих инженерных сооружений,false,False,,62000,957.0,126211000,994.0,121567000,1031.0,187117000,883.0,385319000,920.0,,,3,Гражданское строительство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18696517,2772063,"Строительство прочих инженерных сооружений, не включенных в другие группировки",false,False,,62000,957.0,126211000,994.0,121567000,1031.0,187117000,883.0,385319000,920.0,,,4,Строительство прочих инженерных сооружений,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18696518,2772061,"Строительство прочих инженерных сооружений, не включенных в другие группировки",true,False,,62000,957.0,126211000,994.0,121567000,1031.0,187117000,883.0,385319000,920.0,,,5,"Строительство прочих инженерных сооружений, не включенных в другие группировки",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448177,5079455,Специализированные строительные работы,false,False,,x,957.0,,,2238000,1031.0,,,,,,,2,Строительство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448187,5097726,"Монтаж и установка электрического, водопроводного и прочего оборудования",false,False,,x,957.0,,,,,,,,,,,3,Специализированные строительные работы,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448192,5097491,Прочие строительно-монтажные работы,false,False,,x,957.0,,,,,,,,,,,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448194,5101025,"Прочие строительно-монтажные работы, не включенные в другие группировки",true,False,,x,957.0,,,,,,,,,,,5,Прочие строительно-монтажные работы,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448207,5794498,Прочие специализированные строительные работы,false,False,,,,,,2238000,1031.0,,,,,,,3,Специализированные строительные работы,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448210,5791131,"Прочие специализированные строительные работы, не включенные в другие группировки",false,False,,,,,,2238000,1031.0,,,,,,,4,Прочие специализированные строительные работы,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448214,5791285,"Прочие строительные работы, требующие специальной квалификации",true,False,,,,,,2238000,1031.0,,,,,,,5,"Прочие специализированные строительные работы, не включенные в другие группировки",ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710963,19101,Строительство зданий,false,False,,764115000,957.0,97711000,994.0,57644000,1031.0,463930000,883.0,102497000,920.0,946075000,846.0,2,Строительство,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710964,5488743,Разработка строительных проектов,false,False,,,,,,x,1031.0,,,,,,,3,Строительство зданий,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710965,5495403,Разработка строительных проектов,false,False,,,,,,x,1031.0,,,,,,,4,Разработка строительных проектов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710966,5494615,Разработка строительных проектов,true,False,,,,,,x,1031.0,,,,,,,5,Разработка строительных проектов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710967,108475,Строительство жилых и нежилых зданий,false,False,,764115000,957.0,97711000,994.0,42065000,1031.0,463930000,883.0,102497000,920.0,946075000,846.0,3,Строительство зданий,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710968,108473,Строительство жилых и нежилых зданий,false,False,,764115000,957.0,97711000,994.0,42065000,1031.0,463930000,883.0,102497000,920.0,946075000,846.0,4,Строительство жилых и нежилых зданий,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18710969,108469,Строительство жилых зданий,true,False,,274204000,957.0,95711000,994.0,,,452579000,883.0,92200000,920.0,,,5,Строительство жилых и нежилых зданий,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18801543,198736,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",true,False,,489911000,957.0,2000000,994.0,42065000,1031.0,x,883.0,10297000,920.0,946075000,846.0,5,Строительство жилых и нежилых зданий,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448215,108455,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,false,False,,7630979000,957.0,20773542000,994.0,58557088000,1031.0,1130003000,883.0,1740451000,920.0,2944129000,846.0,1,Всего,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448216,348828,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,false,False,,110700000,957.0,162600000,994.0,3279103000,1031.0,4000000,883.0,,,391400000,846.0,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448217,5694680,Торговля автомобилями,false,False,,,,,,653058000,1031.0,,,,,,,3,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448218,5693047,Торговля автомобилями и легкими автотранспортными средствами,false,False,,,,,,653058000,1031.0,,,,,,,4,Торговля автомобилями,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448220,5697683,Розничная торговля автомобилями и легкими автотранспортными средствами  в торговых объектах с торговой площадью менее 2000 кв.м,true,False,,,,,,51521000,1031.0,,,,,,,5,Торговля автомобилями и легкими автотранспортными средствами,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
18951436,5819162,Розничная торговля автомобилями и легкими автотранспортными средствами  в торговых объектах с торговой площадью более 2000 кв.м (2000 кв.м и выше),true,False,,,,,,601537000,1031.0,,,,,,,5,Торговля автомобилями и легкими автотранспортными средствами,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448224,428388,Техническое обслуживание и ремонт автомобилей,false,False,,110700000,957.0,162600000,994.0,2626045000,1031.0,4000000,883.0,,,391400000,846.0,3,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
448225,384198,Техническое обслуживание и ремонт автомобилей,false,False,,110700000,957.0,162600000,994.0,2626045000,1031.0,4000000,883.0,,,391400000,846.0,4,Техническое обслуживание и ремонт автомобилей,ТУРКЕСТАНСКАЯ ОБЛАСТЬ,ТУРКЕСТАН Г.А.,0
